Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
199.9043,13.5693,7.332,23.0869,50.7371,82.8795,119.1684,0.0192,19.0487,cephSimResult/latency/latency000.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.2205,13.6141,7.331,23.0901,50.7938,84.9543,176.4023,0.0375,35.4449,cephSimResult/latency/latency001.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.1037,13.5846,7.331,23.0908,50.831,84.8811,112.8871,0.0217,14.3284,cephSimResult/latency/latency002.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.9053,13.6048,7.3321,23.0887,50.5576,84.9401,165.3024,0.0392,34.3776,cephSimResult/latency/latency003.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.1562,13.5748,7.3317,23.0888,50.3812,82.7481,143.9852,0.0267,37.9893,cephSimResult/latency/latency004.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
201.2666,13.624,7.3311,23.0929,51.028,84.8828,157.0911,0.0333,33.4687,cephSimResult/latency/latency005.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.4848,13.6336,7.3321,23.0921,51.1634,84.5949,120.3889,0.0217,31.5366,cephSimResult/latency/latency006.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.3199,13.5841,7.3318,23.0942,50.8681,84.9182,117.9471,0.025,11.163,cephSimResult/latency/latency007.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.9218,13.6633,7.3324,23.0958,51.4589,85.7039,188.2326,0.0483,39.3106,cephSimResult/latency/latency008.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.4936,13.6108,7.3321,23.0948,50.0385,84.9474,188.2478,0.0417,38.1434,cephSimResult/latency/latency009.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,0.03143,29.48112,,
