packet_id,server_id,client_send_time(s),server_Rev_Time(s),server_Send_Time(s),client_rev_time(s),latency(ms),queue_len
4819224,5,1,1.0011,1.0061,1.00727,7.2746,1
4819229,14,1.00274,1.00384,1.02451,1.02562,22.8817,1
4819255,2,1.01306,1.01416,1.02416,1.02541,12.3564,1
4819260,1,1.0164,1.0175,1.0225,1.02363,7.23108,1
4819265,7,1.01837,1.01948,1.02448,1.02576,7.38921,1
4819386,4,1.03377,1.03487,1.03987,1.04102,7.24574,1
4819404,4,1.04527,1.04637,1.05137,1.05252,7.2514,1
4819409,2,1.04643,1.04753,1.05254,1.0538,7.36709,1
4819412,13,1.04656,1.04766,1.06833,1.06947,22.9121,1
4819432,12,1.05181,1.05291,1.07359,1.07474,22.9331,1
4819486,6,1.06446,1.06556,1.07056,1.07184,7.38841,1
4819500,4,1.06968,1.07078,1.07578,1.07691,7.22599,1
4819562,5,1.07093,1.07203,1.07703,1.07815,7.22381,1
4819567,12,1.07247,1.07357,1.09428,1.09549,23.0206,1
4819589,15,1.07381,1.07491,1.09559,1.09676,22.9538,1
4819604,1,1.08194,1.08304,1.08805,1.08918,7.23551,1
4819609,4,1.08462,1.08572,1.09073,1.09209,7.4669,1
4819623,2,1.08918,1.09028,1.09528,1.09643,7.25631,1
4819628,8,1.09052,1.09162,1.09662,1.09783,7.31321,1
4819814,2,1.10614,1.10724,1.11225,1.11357,7.42992,1
4819819,3,1.10758,1.10868,1.11368,1.11478,7.20324,1
4819898,2,1.11395,1.11505,1.12006,1.12136,7.41689,1
4819903,0,1.11598,1.11709,1.12209,1.12321,7.22748,1
4819982,7,1.12402,1.12512,1.13012,1.13129,7.26969,1
4819987,8,1.12714,1.12824,1.13325,1.13439,7.25177,1
4820026,14,1.14213,1.14323,1.16392,1.16512,22.9876,1
4820031,6,1.1452,1.1463,1.1513,1.15248,7.2785,1
4820036,4,1.14825,1.14935,1.15436,1.15559,7.33388,1
4820039,4,1.14856,1.14966,1.16436,1.16547,16.9139,1
4820067,9,1.15284,1.15394,1.17462,1.17577,22.9274,1
4820109,14,1.15915,1.16025,1.1846,1.18574,26.5907,1
4820148,5,1.16877,1.16987,1.17487,1.17601,7.23978,1
4820151,15,1.16905,1.17015,1.19082,1.19197,22.9281,1
4820158,15,1.17222,1.17332,1.21149,1.2126,40.3769,1
4820185,0,1.17804,1.17914,1.18415,1.18532,7.27688,1
4820190,6,1.18191,1.18301,1.18802,1.18916,7.24694,1
4820229,8,1.18781,1.18891,1.19392,1.1953,7.49077,1
4820345,12,1.20552,1.20662,1.22729,1.22839,22.8767,1
4820350,6,1.21065,1.21175,1.21676,1.2179,7.25033,1
4820360,4,1.21643,1.21753,1.22253,1.22366,7.23435,1
4820378,10,1.21967,1.22077,1.24145,1.24261,22.9387,1
4820383,14,1.22099,1.22209,1.24279,1.24401,23.0171,1
4820397,4,1.22533,1.22643,1.23143,1.23258,7.255,1
4820400,11,1.22613,1.22723,1.24791,1.24907,22.9437,1
4820412,1,1.23055,1.23165,1.23665,1.23778,7.22781,1
4820434,8,1.23229,1.23339,1.23839,1.23953,7.23596,1
4820511,15,1.24412,1.24522,1.2659,1.26703,22.9095,1
4820514,4,1.24421,1.24531,1.25032,1.25161,7.40446,1
4820521,8,1.24684,1.24794,1.25295,1.2543,7.46313,1
4820604,13,1.25137,1.25247,1.27317,1.27439,23.0204,1
4820686,13,1.25361,1.25471,1.29386,1.29502,41.4192,1
4820691,3,1.2584,1.2595,1.26451,1.26575,7.35351,1
4820696,5,1.26035,1.26146,1.26646,1.26756,7.20474,1
4820746,7,1.26583,1.26693,1.27194,1.27316,7.33054,1
4820839,13,1.27612,1.27722,1.31453,1.31564,39.519,1
4820844,2,1.29143,1.29253,1.29754,1.29869,7.25249,1
4820883,14,1.31029,1.31139,1.33206,1.33319,22.9062,1
4820888,4,1.31329,1.31439,1.31939,1.32051,7.21602,1
4820898,10,1.31467,1.31577,1.33646,1.33764,22.9635,1
4820903,10,1.3193,1.3204,1.35715,1.35836,39.0625,1
4820935,13,1.33654,1.33764,1.35833,1.35953,22.9947,1
4820950,2,1.33689,1.33799,1.343,1.34416,7.26991,1
4820957,2,1.33982,1.34092,1.348,1.34911,9.29115,1
4820962,5,1.34124,1.34234,1.34734,1.34844,7.20289,1
4820965,12,1.3417,1.34281,1.36348,1.36462,22.9123,1
4820993,1,1.3432,1.3443,1.3493,1.35042,7.21974,1
4821008,0,1.34855,1.34965,1.35465,1.3558,7.25144,1
4821018,10,1.35268,1.35378,1.37783,1.37896,26.2864,1
4821102,2,1.36088,1.36198,1.36699,1.36828,7.40276,1
4821186,3,1.38432,1.38542,1.39043,1.3916,7.28163,1
4821216,4,1.39575,1.39685,1.40186,1.40306,7.30595,1
4821250,3,1.43981,1.44091,1.44591,1.44705,7.23881,1
4821255,10,1.44125,1.44235,1.46303,1.46418,22.9303,1
4821260,5,1.44551,1.44661,1.45162,1.45283,7.32101,1
4821268,7,1.44595,1.44705,1.45205,1.45322,7.26873,1
4821277,5,1.44676,1.44786,1.45663,1.45791,11.1496,1
4821284,0,1.45148,1.45258,1.45758,1.45871,7.23654,1
4821347,7,1.45504,1.45614,1.46114,1.46225,7.21211,1
4821414,4,1.45764,1.45874,1.46375,1.46498,7.33698,1
4821482,4,1.46631,1.46741,1.47242,1.47366,7.35345,1
4821532,6,1.47288,1.47398,1.47899,1.48022,7.33972,1
4821535,4,1.47288,1.47398,1.47899,1.48018,7.29694,1
4821542,15,1.47482,1.47592,1.4966,1.49776,22.9466,1
4821545,0,1.47538,1.47649,1.48149,1.48266,7.27364,1
4821622,15,1.4801,1.4812,1.51728,1.51844,38.3399,1
4821648,13,1.48311,1.48421,1.50489,1.50602,22.9146,1
