Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.1209,22.9252,22.8834,49.6041,109.61,181.362,230.5278,1.3,29.0843,cephSimResult/latency/latency_40000_000.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.3466,23.3496,22.8841,50.4929,118.9331,210.2535,272.8002,1.67,33.8432,cephSimResult/latency/latency_40000_001.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.696,23.6413,22.8837,51.0232,122.3341,236.722,314.5764,1.8325,36.342,cephSimResult/latency/latency_40000_002.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.8515,23.076,22.8842,50.2877,114.3058,183.4159,256.2503,1.445,30.1711,cephSimResult/latency/latency_40000_003.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.6295,23.4419,22.8846,50.9753,113.887,237.0133,357.9829,1.425,41.7603,cephSimResult/latency/latency_40000_004.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.1082,23.4935,22.8841,51.2563,119.7679,185.6824,291.1944,1.7275,29.7378,cephSimResult/latency/latency_40000_005.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.2565,23.0836,22.8839,49.9681,113.0069,179.4589,283.4672,1.4775,28.5471,cephSimResult/latency/latency_40000_006.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.881,23.3692,22.884,50.6569,117.5247,206.5918,277.6339,1.595,35.3535,cephSimResult/latency/latency_40000_007.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
198.5793,22.9889,22.8842,49.5077,113.069,187.1719,260.1761,1.4675,27.9095,cephSimResult/latency/latency_40000_008.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.7968,23.1762,22.8838,49.7892,113.7648,212.1657,375.2426,1.4425,36.7904,cephSimResult/latency/latency_40000_009.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,1.53825,32.95392,,
