packet_id,server_id,client_send_time(s),server_Rev_Time(s),server_Send_Time(s),client_rev_time(s),latency(ms),queue_len
4831792,5,1,1.0011,1.0061,1.00723,7.22646,1
4831795,15,1.00019,1.00129,1.02197,1.02311,22.9211,1
4831802,2,1.00593,1.00703,1.01204,1.01324,7.30511,1
4831812,1,1.00779,1.00889,1.0139,1.01519,7.39265,1
4831903,7,1.01755,1.01865,1.02365,1.0248,7.24568,1
4831906,4,1.0179,1.019,1.024,1.02514,7.24483,1
4831952,1,1.02453,1.02563,1.03064,1.03185,7.31185,1
4831990,2,1.03775,1.03885,1.04385,1.04504,7.29034,1
4831995,13,1.04065,1.04175,1.06243,1.0636,22.9448,1
4832000,12,1.04216,1.04326,1.06394,1.06506,22.8988,1
4832003,7,1.04221,1.04331,1.04832,1.0496,7.38621,1
4832010,3,1.0436,1.0447,1.0497,1.05084,7.24461,1
4832106,5,1.05205,1.05315,1.05815,1.05929,7.24083,1
4832111,15,1.05691,1.05801,1.07869,1.07985,22.9375,1
4832114,15,1.05738,1.05848,1.09937,1.10054,43.1582,1
4832134,1,1.05909,1.06019,1.0652,1.06631,7.21731,1
4832166,1,1.07066,1.07176,1.07677,1.07804,7.3839,1
4832171,2,1.07242,1.07352,1.07852,1.07965,7.2294,1
4832255,13,1.08847,1.08957,1.11029,1.1116,23.1312,1
4832346,0,1.11234,1.11344,1.11844,1.11959,7.25471,1
4832351,3,1.11424,1.11534,1.12034,1.12145,7.20647,1
4832354,9,1.11451,1.11561,1.13629,1.13745,22.9442,1
4832378,14,1.12007,1.12117,1.14186,1.14302,22.9439,1
4832388,10,1.1248,1.1259,1.14658,1.14773,22.9321,1
4832393,13,1.13081,1.13191,1.15258,1.15369,22.8753,1
4832398,15,1.13201,1.13311,1.1538,1.15502,23.0086,1
4832420,3,1.13709,1.13819,1.1432,1.14448,7.39133,1
4832425,4,1.13918,1.14028,1.14528,1.14639,7.21195,1
4832504,12,1.14433,1.14543,1.16611,1.16724,22.9095,1
4832569,13,1.15634,1.15744,1.17811,1.17925,22.9141,1
4832574,15,1.16222,1.16332,1.184,1.18517,22.9596,1
4832579,5,1.1654,1.1665,1.1715,1.17264,7.23733,1
4832602,15,1.17563,1.17673,1.20468,1.20581,30.1774,2
4832607,15,1.17724,1.17834,1.22535,1.22646,49.2167,2
4832610,0,1.17797,1.17907,1.18408,1.18524,7.27116,1
4832626,6,1.1839,1.185,1.19,1.19113,7.22643,1
4832671,8,1.18428,1.18538,1.19039,1.19152,7.23513,1
4832676,12,1.18526,1.18636,1.20705,1.20823,22.9736,1
4832697,3,1.19609,1.19719,1.20219,1.20338,7.28821,1
4832700,15,1.1962,1.1973,1.24602,1.24715,50.9558,1
4832737,10,1.20478,1.20588,1.22658,1.22781,23.038,1
4832771,14,1.20779,1.20889,1.22959,1.23082,23.036,1
4832776,9,1.21394,1.21504,1.23574,1.23699,23.0546,1
4832779,11,1.21418,1.21529,1.23597,1.23712,22.9393,1
4832786,3,1.2158,1.2169,1.22192,1.2233,7.49364,1
4832791,8,1.22186,1.22296,1.22796,1.2291,7.23712,1
4832977,15,1.23425,1.23536,1.2667,1.26784,33.5878,1
4833044,1,1.23714,1.23824,1.24324,1.24438,7.24743,1
4833049,8,1.24218,1.24328,1.24828,1.24942,7.23985,1
4833059,13,1.24324,1.24434,1.26502,1.26616,22.9112,1
4833070,13,1.24358,1.24468,1.2857,1.28687,43.2885,1
4833095,3,1.25385,1.25495,1.25995,1.26106,7.21359,1
4833105,5,1.26357,1.26467,1.26968,1.27086,7.29274,1
4833132,7,1.26902,1.27012,1.27512,1.27625,7.2244,1
4833162,13,1.27082,1.27192,1.30638,1.30752,36.6973,2
4833172,13,1.27531,1.27641,1.32706,1.32821,52.8997,3
4833175,14,1.27612,1.27722,1.29793,1.29921,23.0903,1
4833182,4,1.2854,1.2865,1.2915,1.29268,7.28248,1
4833233,10,1.29364,1.29474,1.31541,1.31653,22.8937,1
4833238,10,1.29486,1.29596,1.3361,1.3373,42.434,1
4833300,13,1.29827,1.29937,1.34775,1.34898,50.7096,3
4833305,2,1.30188,1.30298,1.30799,1.30916,7.27831,1
4833310,13,1.30479,1.30589,1.36845,1.36968,64.8943,3
4833328,5,1.30725,1.30835,1.31336,1.31448,7.22766,1
4833331,12,1.30759,1.30869,1.32936,1.33049,22.8998,1
4833334,9,1.30786,1.30896,1.32964,1.33077,22.9056,1
4833378,13,1.316,1.3171,1.38913,1.39029,74.2964,2
4833383,10,1.31809,1.31919,1.35678,1.3579,39.8035,1
4833419,0,1.33103,1.33213,1.33713,1.33823,7.20631,1
4833424,13,1.3327,1.3338,1.40981,1.41093,78.2353,1
4833429,1,1.33525,1.33635,1.34136,1.34262,7.3672,1
4833517,3,1.34209,1.34319,1.34819,1.34942,7.33381,1
4833596,15,1.3494,1.3505,1.37119,1.37235,22.9451,1
4833599,5,1.34976,1.35086,1.35588,1.35724,7.48007,1
4833602,7,1.34996,1.35106,1.35606,1.35718,7.22096,1
4833611,5,1.35161,1.35271,1.36088,1.36201,10.3996,1
4833774,0,1.37349,1.3746,1.3796,1.38087,7.37158,1
4833779,10,1.37463,1.37573,1.3964,1.39751,22.8811,1
4833784,4,1.37751,1.37861,1.38362,1.3849,7.38306,1
4833891,4,1.38485,1.38595,1.39096,1.39226,7.40948,1
4833913,6,1.38954,1.39064,1.39564,1.3968,7.2637,1
4833979,4,1.39229,1.39339,1.3984,1.39955,7.25232,1
4834006,15,1.39814,1.39924,1.41992,1.42106,22.9204,1
4834009,0,1.39831,1.39941,1.40441,1.40565,7.34017,1
4834019,15,1.39843,1.39953,1.4406,1.44177,43.3421,1
4834034,13,1.40241,1.40351,1.43049,1.43167,29.2672,1
4834089,13,1.41159,1.41269,1.45117,1.4523,40.7086,1
4834092,4,1.41247,1.41357,1.41857,1.41975,7.28133,1
4834137,1,1.42346,1.42456,1.42956,1.43073,7.27769,1
4834142,7,1.42468,1.42578,1.43078,1.43189,7.21146,1
4834198,12,1.43132,1.43242,1.4531,1.45426,22.9388,1
4834203,8,1.43739,1.43849,1.4435,1.44475,7.36762,1
4834208,5,1.44046,1.44156,1.44656,1.44771,7.24859,1
4834296,0,1.44744,1.44854,1.45355,1.4548,7.35733,1
4834372,13,1.4593,1.4604,1.48109,1.48227,22.9696,1
4834375,0,1.45937,1.46047,1.46548,1.46679,7.41941,1
4834382,4,1.46478,1.46588,1.47089,1.47217,7.38508,1
4834505,2,1.4749,1.476,1.481,1.48214,7.2396,1
4834510,13,1.47678,1.47788,1.50176,1.50286,26.0879,2
4834515,1,1.47791,1.47901,1.48401,1.48511,7.20296,1
4834520,13,1.47965,1.48075,1.52245,1.52364,43.9936,1
4834564,8,1.48593,1.48703,1.49204,1.49328,7.35029,1
4834619,13,1.50871,1.50981,1.54313,1.54428,35.5753,1
4834624,6,1.51887,1.51997,1.52498,1.52621,7.34269,1
4834699,12,1.52929,1.53039,1.55106,1.55218,22.8887,1
4834704,12,1.54025,1.54135,1.57174,1.57289,32.6354,1
4834726,13,1.54949,1.55059,1.57133,1.57277,23.2882,1
4834729,13,1.55008,1.55118,1.59201,1.59315,43.0681,1
4834741,3,1.55258,1.55368,1.55868,1.55979,7.21335,1
4834751,15,1.56654,1.56764,1.58834,1.58957,23.0322,1
4834874,14,1.5722,1.5733,1.59398,1.59513,22.928,1
4834877,8,1.57259,1.57369,1.57869,1.57981,7.22096,1
4834889,13,1.5831,1.5842,1.61271,1.61394,30.8342,1
4834892,4,1.58336,1.58446,1.58946,1.59061,7.25031,1
4834895,14,1.5841,1.5852,1.61466,1.61581,31.7072,1
4834980,13,1.59495,1.59605,1.63341,1.63467,39.718,1
