packet_id,server_id,client_send_time(s),server_Rev_Time(s),server_Send_Time(s),client_rev_time(s),latency(ms),queue_len
4819224,5,1,1.0011,1.0061,1.00727,7.2746,1
4819229,15,1.00274,1.00384,1.02451,1.02562,22.8817,1
4819255,2,1.01306,1.01416,1.01916,1.02041,7.35637,1
4819260,1,1.0164,1.0175,1.0225,1.02363,7.23108,1
4819265,7,1.01837,1.01948,1.02448,1.02576,7.38921,1
4819386,4,1.03377,1.03487,1.03987,1.04102,7.24574,1
4819404,1,1.04527,1.04637,1.05137,1.05252,7.2514,1
4819409,2,1.04643,1.04753,1.05254,1.0538,7.36709,1
4819412,13,1.04656,1.04766,1.06833,1.06947,22.9121,1
4819432,12,1.05181,1.05291,1.07359,1.07474,22.9331,1
4819486,7,1.06446,1.06556,1.07056,1.07184,7.38841,1
4819500,3,1.06968,1.07078,1.07578,1.07691,7.22599,1
4819562,5,1.07093,1.07203,1.07703,1.07815,7.22381,1
4819567,15,1.07247,1.07357,1.09426,1.09546,22.9964,1
4819589,15,1.07381,1.07491,1.11494,1.11611,42.3056,1
4819604,1,1.08194,1.08304,1.08805,1.08918,7.23551,1
4819609,1,1.08462,1.08572,1.09306,1.09441,9.79158,1
4819623,2,1.08918,1.09028,1.09528,1.09643,7.25631,1
4819628,13,1.09052,1.09162,1.11231,1.11352,23.0014,1
4819760,0,1.10614,1.10724,1.11225,1.11357,7.42992,1
4819765,3,1.10758,1.10868,1.11368,1.11478,7.20324,1
4819877,9,1.11395,1.11505,1.13576,1.13707,23.1239,1
4819903,14,1.11598,1.11709,1.13776,1.13889,22.9,1
4819908,10,1.12402,1.12512,1.1458,1.14697,22.9499,1
4819913,13,1.12714,1.12824,1.14892,1.15007,22.9288,1
4819992,15,1.14213,1.14323,1.16392,1.16512,22.9876,1
4819997,3,1.1452,1.1463,1.1513,1.15248,7.2785,1
4820023,4,1.14825,1.14935,1.15436,1.15559,7.33388,1
4820026,12,1.14856,1.14966,1.17033,1.17144,22.882,1
4820067,13,1.15284,1.15394,1.17462,1.17577,22.9274,1
4820109,15,1.15915,1.16025,1.1846,1.18574,26.5907,1
4820143,5,1.16877,1.16987,1.17487,1.17601,7.23978,1
4820146,15,1.16905,1.17015,1.20528,1.20643,37.3819,1
4820158,15,1.17222,1.17332,1.22595,1.22705,54.8307,2
4820185,0,1.17804,1.17914,1.18415,1.18532,7.27688,1
4820190,6,1.18191,1.18301,1.18802,1.18916,7.24694,1
4820229,8,1.18781,1.18891,1.19392,1.1953,7.49077,1
4820345,12,1.20552,1.20662,1.22729,1.22839,22.8767,1
4820350,3,1.21065,1.21175,1.21676,1.2179,7.25033,1
4820355,15,1.21643,1.21753,1.24662,1.24776,31.3259,1
4820373,10,1.21967,1.22077,1.24145,1.24261,22.9387,1
4820378,14,1.22099,1.22209,1.24279,1.24401,23.0171,1
4820383,9,1.22533,1.22643,1.24711,1.24826,22.9326,1
4820391,11,1.22613,1.22723,1.24791,1.24907,22.9437,1
4820403,3,1.23055,1.23165,1.23665,1.23778,7.22781,1
4820408,8,1.23229,1.23339,1.23839,1.23953,7.23596,1
4820485,15,1.24412,1.24522,1.2673,1.26843,24.3131,1
4820488,1,1.24421,1.24531,1.25032,1.25161,7.40446,1
4820504,8,1.24684,1.24794,1.25295,1.2543,7.46313,1
4820604,13,1.25137,1.25247,1.27317,1.27439,23.0204,1
4820686,13,1.25361,1.25471,1.29386,1.29502,41.4192,1
4820691,3,1.2584,1.2595,1.26451,1.26575,7.35351,1
4820696,5,1.26035,1.26146,1.26646,1.26756,7.20474,1
4820746,7,1.26583,1.26693,1.27194,1.27316,7.33054,1
4820839,13,1.27612,1.27722,1.31453,1.31564,39.519,1
4820844,13,1.29143,1.29253,1.33521,1.33636,44.9221,2
4820870,14,1.31029,1.31139,1.33206,1.33319,22.9062,1
4820875,4,1.31329,1.31439,1.31939,1.32051,7.21602,1
4820885,10,1.31467,1.31577,1.33646,1.33764,22.9635,1
4820890,10,1.3193,1.3204,1.35715,1.35836,39.0625,1
4820935,13,1.33654,1.33764,1.35833,1.35953,22.9947,1
4820950,2,1.33689,1.33799,1.343,1.34416,7.26991,1
4820957,13,1.33982,1.34092,1.379,1.38011,40.2975,1
4820962,5,1.34124,1.34234,1.34734,1.34844,7.20289,1
4820965,12,1.3417,1.34281,1.36348,1.36462,22.9123,1
4820993,9,1.3432,1.3443,1.36498,1.36609,22.8915,1
4821003,13,1.34855,1.34965,1.39968,1.40083,52.2796,2
4821008,10,1.35268,1.35378,1.37783,1.37896,26.2864,1
4821079,0,1.36088,1.36198,1.36699,1.36828,7.40276,1
4821173,13,1.38432,1.38542,1.42037,1.42155,37.2226,1
4821178,1,1.39575,1.39685,1.40186,1.40306,7.30595,1
4821250,3,1.43981,1.44091,1.44591,1.44705,7.23881,1
4821255,15,1.44125,1.44235,1.46303,1.46418,22.9303,1
4821260,5,1.44551,1.44661,1.45162,1.45283,7.32101,1
4821268,7,1.44595,1.44705,1.45205,1.45322,7.26873,1
4821277,5,1.44676,1.44786,1.45663,1.45791,11.1496,1
4821284,0,1.45148,1.45258,1.45758,1.45871,7.23654,1
4821347,10,1.45504,1.45614,1.47681,1.47792,22.8832,1
4821414,4,1.45764,1.45874,1.46375,1.46498,7.33698,1
4821477,4,1.46631,1.46741,1.47242,1.47366,7.35345,1
4821527,6,1.47288,1.47398,1.47899,1.48022,7.33972,1
4821530,4,1.47288,1.47398,1.47899,1.48018,7.29694,1
4821537,15,1.47482,1.47592,1.4966,1.49776,22.9466,1
4821540,0,1.47538,1.47649,1.48149,1.48266,7.27364,1
4821622,15,1.4801,1.4812,1.51728,1.51844,38.3399,1
4821648,13,1.48311,1.48421,1.50489,1.50602,22.9146,1
4821651,13,1.48357,1.48467,1.52557,1.52674,43.164,1
4821658,4,1.48566,1.48676,1.49177,1.49293,7.27088,1
4821661,1,1.48575,1.48685,1.49185,1.493,7.25163,1
4821719,7,1.50193,1.50303,1.50803,1.50931,7.38641,1
4821722,12,1.50282,1.50392,1.5246,1.52571,22.8903,1
4821725,8,1.50284,1.50394,1.50894,1.51005,7.20338,1
4821743,5,1.50509,1.50619,1.51119,1.51248,7.39236,1
4821746,0,1.50568,1.50678,1.51179,1.51306,7.38194,1
4821753,13,1.50702,1.50812,1.54624,1.54737,40.3544,1
4821943,0,1.51923,1.52033,1.52533,1.52647,7.23807,1
4821983,4,1.53121,1.53231,1.53731,1.53851,7.30047,1
4822017,2,1.53969,1.54079,1.54579,1.54693,7.23163,1
4822020,13,1.54066,1.54176,1.56692,1.56807,27.4054,1
4822045,1,1.54771,1.54882,1.55382,1.55495,7.23107,1
4822050,13,1.54933,1.55043,1.58761,1.58881,39.4788,1
