Sim latency at ReqAveWait:0.00285714 ReqSize:8192B SampleNum:160000 Ave:15.5401 P50: 7.3558 P90:32.3195 P99:79.3132 P999:130.3987 P9999:188.0943
startTime,latency
1,7.2028
1.00103,23.0163
1.00657,7.33313
1.0087,7.27286
1.00871,7.22773
1.00984,8.9598
1.01371,7.22948
1.01715,7.22882
1.01746,22.9199
1.02245,22.9244
1.02795,7.31783
1.02877,7.32217
1.0306,7.23632
1.04149,22.9103
1.04329,7.23985
1.04352,7.33399
1.04776,7.24576
1.04993,7.23391
1.05234,7.21825
1.05286,9.32463
1.05694,7.23068
1.05804,9.29651
1.05919,22.8885
1.07029,23.0191
1.07049,23.1505
1.07191,22.9326
1.07199,7.33648
1.07619,7.25295
1.07655,22.8715
1.07782,36.2967
1.08665,22.9072
1.09584,7.27468
1.09907,22.9233
1.09992,42.8583
1.10112,7.25593
1.10171,7.25993
1.10946,7.285
1.11114,7.22898
1.11346,7.208
1.11417,7.24482
1.1299,22.8911
1.13054,7.26579
1.13704,22.9247
1.14531,7.20502
1.16516,7.26916
1.16955,7.21131
1.17142,23.0784
1.17485,7.2226
1.17489,7.48588
1.17709,22.8895
1.18119,39.5631
1.18258,7.23132
1.18293,7.2065
1.18899,7.25494
1.20843,7.33499
1.20892,32.4646
1.21804,22.9223
1.21884,7.3176
1.22079,23.0282
1.22439,40.2623
1.23368,7.27894
1.23452,7.23656
1.2382,8.61325
1.23923,7.31217
1.23969,23.0271
1.24638,7.25147
1.24646,23.0165
1.25687,28.3212
1.26183,7.25398
1.2643,25.7546
1.26474,7.34787
1.2672,7.30526
1.26814,37.6791
1.27306,7.33089
1.27334,7.33417
1.27494,7.23765
1.27516,7.26146
1.27521,51.273
1.27619,7.2576
1.27719,11.2401
1.27867,7.42714
1.28229,11.1179
1.28456,22.9027
1.29231,7.25908
1.29521,32.9745
1.29531,7.30398
1.29756,7.31549
1.29798,7.27823
1.31024,7.2523
1.31493,7.30434
1.3165,7.23326
1.31694,7.23392
1.32509,7.3065
1.32874,7.32043
1.33137,7.2509
1.33235,8.75694
1.33524,7.2087
1.33621,7.27438
1.33639,22.988
1.34145,7.29444
1.34513,22.873
1.34853,7.23224
1.35161,37.2271
1.3542,7.22265
1.35634,7.3091
1.3577,23.0733
1.35894,50.4651
1.35905,7.22842
1.36722,7.22625
1.37066,22.9079
1.37068,7.26945
1.37124,7.23508
1.372,7.46396
1.3747,7.25695
1.37543,9.08532
1.37792,52.132
1.37866,7.24924
1.38029,7.26128
1.38087,23.0874
1.38209,7.26176
1.38518,7.22063
1.38949,7.36977
1.38984,11.9607
1.38993,16.8372
1.39049,7.24512
1.39106,7.23266
1.39163,7.22942
1.39305,57.7369
1.397,22.9193
1.3996,7.27579
1.40141,10.4997
1.40142,7.30603
1.40378,22.8892
1.40476,12.1892
1.4048,35.8216
1.40506,7.21911
1.40835,7.24158
1.40898,8.35035
1.41429,7.25193
1.41967,22.9098
1.42444,38.7961
1.42708,7.27151
1.4275,7.20406
1.43386,7.32783
1.4387,7.23058
1.43996,23.0024
1.44414,7.24496
1.44747,7.23792
1.44975,7.38847
1.4618,7.27996
1.46307,22.9903
1.46914,7.25649
1.47242,22.944
1.47242,7.27208
1.47308,22.9129
1.47613,30.9028
1.47856,7.29269
1.48019,7.26459
1.48356,23.2082
1.48847,7.29631
1.49399,22.8942
1.494,7.4017
1.50174,35.8263
1.5081,23.2725
1.50835,22.9392
1.51026,7.30317
1.51109,7.28717
1.51228,23.2084
1.51416,7.20495
1.51462,8.84931
1.51773,7.23359
1.52095,7.30185
1.52428,31.7677
1.52445,7.24442
1.52643,22.9195
1.52762,24.2342
1.52924,7.23607
1.52969,7.30559
1.5342,38.2599
1.54837,7.2283
1.54862,7.22422
1.55214,22.8729
1.55628,7.25617
1.55775,7.26221
1.56151,23.0805
1.56206,7.31725
1.56252,11.8419
1.56628,7.27313
1.57369,23.1126
1.58438,22.9597
1.58556,7.44746
1.58724,7.21406
1.59039,7.34949
1.59053,7.28813
1.59322,23.0906
1.59631,7.23112
1.60008,7.46851
1.60381,7.21808
1.60492,11.1318
1.60507,22.9021
1.60819,7.33092
1.60961,11.0366
1.61218,7.24041
1.62152,7.25808
1.62432,7.35147
1.62489,7.26294
1.62813,7.22871
1.63239,22.8908
1.63361,7.28677
1.63635,12.333
1.63671,7.26552
1.64502,7.35073
1.64573,7.2237
1.64749,22.9117
1.65104,7.25351
1.65837,7.25884
1.66245,7.25045
1.66508,7.30766
1.66616,7.25589
1.66641,7.23308
1.67346,7.26641
1.6769,7.41126
1.67918,23.1356
1.68449,22.9308
1.6858,22.9674
1.68771,7.23854
1.68833,7.31765
1.68929,33.5221
1.69528,7.32035
1.69834,7.3702
1.70017,7.21413
1.7015,7.23597
1.70537,8.34969
1.70606,37.3966
1.71565,7.2189
1.71568,22.906
1.71976,39.4938
1.72044,22.9518
1.72199,7.24499
1.72243,7.31503
1.72874,22.9184
1.73692,7.21316
1.73726,7.22751
1.74521,7.39169
1.74575,7.55316
1.74587,7.22122
1.75499,22.9784
1.76052,22.9142
1.76055,7.29364
1.76117,7.30944
1.76844,7.29154
1.76866,7.29528
1.77143,7.30808
1.78577,22.9098
1.78596,7.2152
1.78949,22.9775
1.79286,7.23179
1.79405,35.4967
1.7957,7.22355
1.79581,7.31232
1.79995,7.29861
1.80362,46.5103
