Sim latency at ReqAveWait:0.00666667 ReqSize:8192B SampleNum:160000 Ave:19.7305 P50:22.8833 P90:39.4135 P99:78.6162 P999:129.2412 P9999:207.1803
startTime,latency
1,7.23606
1.00224,22.9182
1.01649,7.29012
1.0169,7.28576
1.02452,7.23471
1.03305,7.33072
1.05086,7.23973
1.0573,7.30124
1.05738,22.9474
1.05741,23.0147
1.06863,7.25319
1.0716,7.23875
1.08123,7.27045
1.10341,22.9212
1.12004,26.9476
1.12151,7.35555
1.15246,7.23809
1.16777,7.26691
1.16826,22.8875
1.16835,7.27799
1.17314,7.27244
1.17703,22.9695
1.17872,22.8842
1.18849,22.9139
1.19322,22.9197
1.19556,22.8953
1.20828,7.25548
1.22482,7.24391
1.23074,22.949
1.23783,22.9757
1.23962,22.8968
1.24255,7.33338
1.25337,29.9022
1.25827,45.9883
1.26318,7.28079
1.26718,7.2367
1.28972,7.2634
1.29841,22.9562
1.30211,7.26138
1.31501,22.9792
1.31738,22.9618
1.31941,22.9258
1.3318,23.0294
1.3353,22.9528
1.33737,7.27843
1.33804,7.29648
1.34115,23.0328
1.34222,7.27646
1.34443,7.26362
1.34919,22.9419
1.3515,41.2982
1.35766,7.36844
1.35955,7.30759
1.36268,7.29272
1.3627,50.8059
1.36381,70.513
1.37275,22.9456
1.38179,7.26676
1.38236,22.8954
1.38635,39.5597
1.38957,65.3635
1.39138,7.2709
1.39521,80.2948
1.39586,7.32046
1.40504,23.4826
1.40692,22.935
1.40714,89.1518
1.41773,29.004
1.42048,7.25918
1.42101,95.9416
1.42499,7.31252
1.4314,7.2911
1.43518,22.9711
1.4362,7.25654
1.4367,7.29499
1.43763,10.8149
1.44269,7.26818
1.45016,22.927
1.45419,7.24137
1.46029,7.28638
1.46884,7.27304
1.47049,7.23552
1.47093,22.933
1.47445,7.21078
1.47776,36.7701
1.48174,55.8615
1.48458,73.7135
1.49256,7.23301
1.49342,7.2475
1.5087,7.32065
1.51157,23.0817
1.52202,7.24477
1.52707,7.21144
1.53214,7.313
1.53527,43.8416
1.54562,7.26478
1.54912,7.25916
1.54993,7.31934
1.55268,47.0095
1.5772,7.30517
1.57809,42.3514
1.58986,7.23224
1.60006,40.9464
1.60811,7.25605
1.60846,23.1773
1.61167,40.4252
1.61934,42.4212
1.62161,60.7766
1.62203,7.3661
1.63588,23.1389
1.63603,22.8872
1.64147,7.32966
1.64391,59.2263
1.65713,7.35195
1.67745,22.9001
1.68226,41.5325
1.68676,7.20289
1.6884,7.23539
1.6951,22.8896
1.7012,7.20617
1.71363,7.24921
1.72266,22.9336
1.72894,23.0613
1.74335,22.9076
1.75534,7.40629
1.75707,7.39301
1.76123,22.9365
1.77035,23.0194
1.77317,22.9526
1.7742,7.23266
1.7778,36.2442
1.78434,7.46071
1.79637,22.9749
1.82058,22.9244
1.82663,37.722
1.82826,7.41538
1.83061,54.2362
1.83434,7.27415
1.84722,7.27418
1.85271,23.0842
1.86275,33.6032
1.86882,7.47681
1.86957,7.44391
1.87188,7.36045
1.87529,7.39677
1.8793,26.2677
1.89155,7.39361
1.89274,7.31473
1.89969,7.41364
1.90255,7.27345
1.90264,22.8994
1.90823,7.22818
1.90855,22.9388
1.90956,42.6401
1.92245,50.8051
1.92472,22.925
1.93879,7.25062
1.93969,7.24607
1.94641,22.8746
1.94922,7.26299
1.96414,29.6991
1.96486,7.27544
1.96752,46.796
1.9848,23.0232
1.98521,22.9133
1.98569,7.25857
2.00262,7.48947
2.01282,22.9613
2.01498,7.23163
2.02272,7.26378
2.03128,23.5033
2.03722,22.8885
2.06716,22.8808
2.06766,7.23224
2.07576,22.9821
2.08338,22.9699
2.08938,7.2149
2.09173,35.3124
2.09218,55.5584
2.10675,7.2583
2.12925,7.30192
2.14037,22.9339
2.14382,7.22333
2.14646,7.27192
2.14877,22.9051
2.1494,7.29978
2.15128,32.7289
2.15159,7.21441
2.15631,22.9411
2.1704,34.2372
2.17794,22.9202
2.18299,22.8775
2.18355,7.21481
2.19015,7.46009
2.19447,23.0412
2.2052,7.22503
2.20815,9.28281
2.21016,7.27881
2.23413,7.27019
2.24293,22.917
2.24328,7.23446
2.24613,22.9942
2.25879,7.30791
2.26414,7.28266
2.26955,22.9417
2.28324,7.27285
2.28394,7.21522
2.28569,22.8784
2.29317,22.9791
2.29596,7.29094
2.2966,7.20992
2.317,23.027
2.31959,7.23798
2.33194,28.6387
2.34305,7.20357
2.34478,22.8741
2.34909,7.22307
2.35831,23.0178
2.36404,7.22922
2.36643,7.22863
2.37867,7.36155
2.37872,7.35127
2.37895,22.8943
2.39119,22.9032
2.39468,22.8813
2.39827,36.6097
2.40319,22.9644
2.40517,41.6003
2.42132,46.2536
2.43892,7.63592
2.44051,22.9389
2.45015,7.30245
2.45651,22.9279
2.47073,22.8833
2.47511,7.34514
2.48054,23.0114
2.4867,37.4754
2.50716,22.9455
2.51593,7.30716
2.53396,7.56669
2.54305,22.8994
2.5597,7.22815
2.55971,7.44133
2.56035,22.9129
2.5669,22.8737
2.575,7.31138
2.58071,23.2853
2.58281,27.6624
2.58814,7.2244
2.60634,24.8524
2.61216,7.23664
2.6186,7.2523
2.62082,22.9157
2.62249,22.9608
2.63315,7.35826
2.6529,23.0896
2.65465,7.21553
2.66348,22.984
2.68928,7.2051
2.69082,22.9697
2.69086,7.23879
2.69483,22.9333
2.69783,40.6454
2.69883,7.27092
2.70907,50.06
2.70954,22.9621
2.71005,43.3234
2.73207,47.6894
2.74123,59.3032
2.75836,22.8829
2.75943,23.1107
2.77071,23.0304
2.77354,40.8921
2.77683,7.26748
