Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
300.7841,989.9089,22.9013,3791.3652,10040.2657,11743.3792,12564.6644,30.9394,2889.3066,cephSimResult/latency/latency_300_000.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
300.9115,1125.7961,22.9009,4722.3589,11434.5293,12371.9581,14238.7633,30.8063,3321.087,cephSimResult/latency/latency_300_001.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
299.8376,1145.1745,22.9012,4834.2327,8585.0166,9072.984,10980.3088,31.16,3332.5956,cephSimResult/latency/latency_300_002.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
299.3134,1055.7577,22.9009,4241.301,8954.3959,9461.9734,11381.0263,30.9169,3090.962,cephSimResult/latency/latency_300_003.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
300.0489,1118.4909,22.9009,4831.2893,8987.4061,9325.6718,11328.788,31.1937,3252.4568,cephSimResult/latency/latency_300_004.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
301.0195,1377.5231,22.9006,6549.4556,11907.8154,12318.5193,14854.6654,31.2931,4025.2242,cephSimResult/latency/latency_300_005.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
299.1219,960.7437,22.9006,3929.0368,8680.9658,9344.4758,11142.8957,30.6131,2830.9565,cephSimResult/latency/latency_300_006.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
299.9374,1050.1274,22.9009,4214.037,8949.0292,9710.5058,11460.3314,31.2125,3042.6639,cephSimResult/latency/latency_300_007.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
299.8978,1129.6169,22.9004,4961.3873,9834.2088,10519.9699,12304.4858,30.7144,3345.884,cephSimResult/latency/latency_300_008.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
300.3235,1205.4674,22.901,5107.4108,11240.3992,11785.1155,14173.0654,30.6394,3586.0323,cephSimResult/latency/latency_300_009.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,30.94888,3271.71689,,
