Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
401.0455,21754.429,22.9049,93140.5894,134531.7268,140111.6094,140697.5128,32.4725,63374.5898,cephSimResult/latency/latency_400_000.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
401.2154,21870.8703,22.9044,94230.8171,135188.9939,139954.2193,140592.5129,32.4163,63986.6049,cephSimResult/latency/latency_400_001.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
399.7835,21975.4481,22.9045,94881.8224,134042.8576,139115.9792,139893.6723,32.48,64125.692,cephSimResult/latency/latency_400_002.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
399.0845,21663.3739,22.9045,93861.376,132933.4068,138232.7224,138977.4655,32.4319,63314.7402,cephSimResult/latency/latency_400_003.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
400.0651,21867.6581,22.9041,94422.4564,133923.9419,139600.676,140193.6963,32.4713,63777.7271,cephSimResult/latency/latency_400_004.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
401.3594,22201.7108,22.9041,96354.7839,136225.1821,141355.3464,142040.9675,32.45,64829.8395,cephSimResult/latency/latency_400_005.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
398.8292,21554.1815,22.9042,93182.3468,133073.4943,137483.9559,138105.3718,32.3794,63123.0767,cephSimResult/latency/latency_400_006.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
399.9166,21925.3595,22.9044,95069.5844,133943.4633,139618.3608,140297.8426,32.4856,63924.0102,cephSimResult/latency/latency_400_007.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
399.8637,21849.7494,22.9043,94609.3161,134471.7561,139782.6944,140260.0017,32.455,63677.6813,cephSimResult/latency/latency_400_008.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
400.4314,21991.26,22.9048,95159.9765,135726.3745,141310.0976,141782.253,32.4406,64158.0427,cephSimResult/latency/latency_400_009.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,32.44826,63829.20044,,
