Sim latency at ReqAveWait:0.00166667 ReqSize:8192B SampleNum:160000 Ave:43135.6247 P50:22.9174 P90:185097.4042 P99:261745.7657 P999:270375.9280 P9999:271783.6946
startTime,latency
1,7.22052
1.00223,23.0448
1.00545,7.23945
1.0077,7.30304
1.00772,7.22444
1.00915,7.32413
1.01009,9.87956
1.01169,7.21361
1.01644,23.0713
1.01739,22.9382
1.01753,7.38839
1.0197,7.20348
1.02042,7.23798
1.02136,24.4836
1.02246,44.0539
1.02629,7.30245
1.02995,8.58631
1.02996,7.2606
1.03126,28.7644
1.03227,7.30627
1.03267,7.63321
1.03287,23.0846
1.03358,22.8997
1.03453,22.9481
1.03655,44.2783
1.03925,47.9357
1.04157,7.20306
1.04757,7.33834
1.04805,22.8751
1.05411,47.3238
1.05576,52.1771
1.05661,7.21001
1.05769,70.8849
1.0694,79.8101
1.06947,7.3552
1.07108,7.28643
1.07149,7.34658
1.0718,22.9341
1.07226,7.58736
1.07248,97.6274
1.0744,23.0079
1.07713,23.0881
1.07828,22.9009
1.08196,22.883
1.08232,7.20917
1.08324,7.27805
1.08467,106.029
1.08591,7.3631
1.08628,9.24244
1.08816,34.135
1.09469,48.1522
1.09616,7.24862
1.10214,7.29971
1.10985,7.22855
1.11143,52.0943
1.1133,70.8618
1.11419,23.0308
1.1167,7.22933
1.11692,22.9234
1.11724,43.2621
1.11844,86.4986
1.11885,12.4181
1.12021,105.388
1.12094,7.22044
1.12289,22.9543
1.12445,22.9914
1.12922,116.989
1.13163,49.7431
1.13451,7.22519
1.13514,131.887
1.13599,7.25693
1.14076,7.25115
1.14178,69.5985
1.14226,7.21963
1.14529,7.2273
1.14535,9.25595
1.14668,7.27149
1.1478,54.0668
1.15029,7.22782
1.15493,7.62369
1.15728,7.22204
1.1615,7.40715
1.16418,67.8546
1.16536,7.22513
1.16566,87.0129
1.16628,121.305
1.16734,140.954
1.16961,7.2087
1.16988,7.22844
1.17252,7.31805
1.17267,23.0991
1.18086,7.27476
1.18122,7.21457
1.18188,7.20364
1.18557,143.358
1.18718,7.27261
1.18895,7.46161
1.18948,7.24629
1.18968,160.2
1.19265,7.47868
1.19309,177.493
1.1949,7.25403
1.19879,192.566
1.20039,7.28431
1.20138,22.8738
1.2027,42.4121
1.2037,208.459
1.20398,228.719
1.21089,7.20371
1.21114,62.2666
1.21181,22.9117
1.21264,7.27571
1.21348,239.745
1.21704,7.38235
1.21722,38.2194
1.21757,256.46
1.22083,7.43129
1.22253,7.34054
1.22533,22.8795
1.22826,7.23707
1.22907,7.31608
1.23066,264.004
1.23344,22.9114
1.23477,59.4016
1.23553,7.22705
1.23621,7.25032
1.23801,30.8958
1.24185,273.439
1.2422,72.5447
1.24321,7.26496
1.2442,291.765
1.24589,7.23564
1.24638,43.2985
1.24921,86.1806
1.25091,105.237
1.25119,7.27294
1.25181,125.038
1.25195,11.5478
1.25285,7.2277
1.25498,22.9806
1.25699,41.576
1.26065,7.22253
1.26214,7.2649
1.26296,7.2021
1.26544,7.25869
1.26666,131.114
1.26773,7.33281
1.26904,7.28327
1.26976,7.28086
1.26985,7.25486
1.27711,42.4467
1.28039,7.23465
1.2822,135.989
1.28276,156.216
1.28425,175.295
1.28616,53.8195
1.2874,7.37483
1.2875,7.24102
1.28875,267.872
1.28913,10.5781
1.29166,188.877
1.29276,7.24799
1.29384,207.106
1.29523,282.291
1.29784,22.9165
1.29929,7.23399
1.30152,7.24247
1.30364,22.9468
1.30445,7.25771
1.30504,11.9619
1.31306,284.938
1.31352,208.268
1.31494,22.9391
1.31499,7.2049
1.31864,28.6021
1.31964,299.084
1.3205,7.29357
1.32329,316.102
1.32352,336.718
1.32366,7.23675
1.32379,7.20546
1.32426,218.084
1.32603,7.20743
1.3275,7.35361
1.33103,22.9729
1.33335,7.36464
1.33339,229.687
1.33505,7.3359
1.33829,22.921
1.33878,245.096
1.33904,341.747
1.3391,28.8066
1.34178,7.32343
1.34222,7.23975
1.34374,23.1343
1.34568,8.85241
1.347,12.4792
1.34908,7.31089
1.35099,7.20301
1.3585,22.9113
1.35871,7.27604
1.36005,341.441
1.36172,7.21787
1.36256,7.2803
1.36319,241.26
1.36429,7.37254
1.36535,9.50924
1.36743,22.8927
1.36995,22.9678
1.37019,7.3057
1.37156,7.32339
1.37288,349.302
1.37335,7.45105
1.37385,368.947
1.37417,7.24194
1.37522,250.154
1.379,7.23124
1.38173,31.8351
1.38222,7.22203
1.38349,7.31831
1.38493,7.26503
1.38514,10.5872
1.38781,22.9575
1.38798,257.953
1.38857,375.004
1.38897,277.531
1.39247,22.9702
1.39525,40.858
1.39917,57.5816
1.40018,7.22101
1.40153,285.668
1.40357,7.289
1.40534,378.907
1.40729,26.9361
1.40814,7.67295
1.41073,297.107
1.41134,317.361
1.41177,65.6626
1.41247,7.2842
1.41348,7.32025
1.41648,43.6413
1.42088,7.24569
1.42224,7.23584
1.4223,382.553
1.42265,326.602
1.42502,9.52454
1.43001,395.844
1.43111,339.027
1.43305,7.23438
1.43401,357.061
1.43682,7.27381
1.43859,7.25788
1.43911,407.147
