Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.5228,13.5825,7.3322,23.0905,49.8829,79.7494,112.2421,0.0194,20.9219,cephSimResult/latency/latency000.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.6077,13.5725,7.3312,23.0896,50.418,81.5395,130.8115,0.0238,34.9114,cephSimResult/latency/latency001.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.8917,13.6231,7.3318,23.0931,51.2262,84.4989,121.2526,0.0306,22.5336,cephSimResult/latency/latency002.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.5423,13.6184,7.3323,23.0921,50.6876,81.1314,118.4045,0.0231,26.8002,cephSimResult/latency/latency003.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.0326,13.6193,7.3328,23.0884,50.6536,84.8836,169.3599,0.0312,39.3064,cephSimResult/latency/latency004.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.6797,13.557,7.3309,23.0886,50.2255,78.7944,108.5278,0.0156,15.6584,cephSimResult/latency/latency005.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.4146,13.6062,7.3314,23.0877,50.9261,85.0665,188.2999,0.0544,39.1856,cephSimResult/latency/latency006.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.9583,13.5864,7.3313,23.0858,50.8578,84.9598,188.2538,0.0425,40.0521,cephSimResult/latency/latency007.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.9319,13.5968,7.3319,23.089,50.7466,84.9651,117.9923,0.0269,15.3399,cephSimResult/latency/latency008.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.2157,13.5994,7.3319,23.088,51.3033,84.9221,152.8612,0.0319,34.7255,cephSimResult/latency/latency009.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,,0.02994,28.9435,,
