Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.5228,23.5381,22.8865,51.3704,117.7313,189.4606,262.9027,1.6594,29.6125,cephSimResult/latency/latency_0.700000_000.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.6077,23.716,22.8866,52.0273,119.8101,200.2942,253.355,1.7175,32.3258,cephSimResult/latency/latency_0.700000_001.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.8917,23.543,22.8867,51.2009,118.9681,192.1587,272.3582,1.7138,30.2568,cephSimResult/latency/latency_0.700000_002.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.5423,23.642,22.8869,51.4121,121.7784,196.1559,270.6383,1.75,32.5472,cephSimResult/latency/latency_0.700000_003.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.0326,23.5769,22.8866,51.2815,119.2062,196.4218,291.3717,1.6556,32.7325,cephSimResult/latency/latency_0.700000_004.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.6797,23.6297,22.8867,51.4248,119.577,196.3119,287.6261,1.7138,31.199,cephSimResult/latency/latency_0.700000_005.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.4146,23.4603,22.8865,50.9864,117.2726,197.1873,274.1211,1.5875,31.9855,cephSimResult/latency/latency_0.700000_006.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.9583,23.6903,22.8866,51.4409,121.4369,200.9661,256.1873,1.7694,32.2393,cephSimResult/latency/latency_0.700000_007.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.9319,23.5106,22.8864,51.163,116.8298,197.3929,277.8201,1.6594,29.5184,cephSimResult/latency/latency_0.700000_008.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.2157,23.5687,22.8868,50.8925,120.1423,204.108,315.265,1.68,34.4601,cephSimResult/latency/latency_0.700000_009.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,1.69064,31.68771,,
