Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
601.5683,43396.9034,22.9188,185760.4103,263774.185,272049.4538,273464.7178,39.0019,105503.4775,cephSimResult/latency/latency_600_000.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
601.8231,43563.9559,22.9176,187125.6329,264379.9991,273484.4862,274915.5119,38.625,106895.7305,cephSimResult/latency/latency_600_001.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
599.6752,43352.6412,22.9178,186326.4288,262613.2362,270718.4538,272186.4025,38.5838,106481.6541,cephSimResult/latency/latency_600_002.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
598.6268,43355.8455,22.9181,186818.2015,262939.1016,271127.3897,272586.3687,38.5975,106410.0559,cephSimResult/latency/latency_600_003.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
600.0977,43437.461,22.9173,186534.392,263331.7412,272051.4901,273444.1005,38.4937,107006.5454,cephSimResult/latency/latency_600_004.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
602.0391,43519.2245,22.9172,187528.7304,264122.6917,272330.9591,273661.12,38.765,106369.548,cephSimResult/latency/latency_600_005.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
598.2439,43135.6247,22.9174,185097.4042,261745.7657,270375.928,271783.6946,38.4656,106435.3163,cephSimResult/latency/latency_600_006.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
599.8748,43531.7339,22.9172,187354.9639,263578.6918,272271.2301,273759.5016,38.5656,107071.8239,cephSimResult/latency/latency_600_007.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
599.7956,43349.9391,22.9179,186464.2678,263451.2831,271734.5762,273155.3184,38.4469,106987.2538,cephSimResult/latency/latency_600_008.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
600.647,43323.8804,22.9184,186086.8813,262983.2049,271842.3529,273260.0451,38.7094,105949.0354,cephSimResult/latency/latency_600_009.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,38.62544,106511.0441,,
