Sim latency at ReqAveWait:0.01 ReqSize:8192B SampleNum:160000 Ave:17.8140 P50:22.8813 P90:30.6225 P99:59.0064 P999:94.8463 P9999:188.2530
startTime,latency
1,7.22845
1.00281,22.9199
1.01356,7.23218
1.01835,7.41031
1.0268,7.36263
1.03809,7.21443
1.04611,7.28363
1.09536,7.34295
1.10165,22.9006
1.1117,22.8807
1.11918,7.23655
1.14082,7.28922
1.14764,7.29065
1.16832,23.1294
1.17672,35.256
1.17755,7.24785
1.17844,11.4144
1.17978,7.40947
1.19145,22.9623
1.19207,7.26344
1.19237,7.24907
1.19638,22.9176
1.20499,43.8342
1.20685,23.0824
1.2149,22.9153
1.23331,22.8726
1.2472,7.27707
1.29191,7.23297
1.29573,23.0991
1.30236,22.9449
1.31062,22.9207
1.34568,7.2266
1.34749,22.8847
1.35431,36.786
1.36075,7.20954
1.37309,7.32804
1.39392,7.21848
1.39733,22.9223
1.39791,7.2397
1.42509,22.8957
1.42574,22.9561
1.42666,23.041
1.42917,22.9126
1.43742,23.1226
1.4443,7.27378
1.47189,7.39507
1.48833,22.9135
1.50244,7.33356
1.50286,7.3937
1.51343,22.899
1.52198,35.1054
1.53198,7.32929
1.53325,7.24745
1.53876,7.27529
1.54773,30.0792
1.55099,47.7121
1.55411,22.9844
1.55624,7.24184
1.5573,22.9199
1.56098,39.964
1.56656,52.5885
1.57193,7.29476
1.5769,62.8944
1.57971,7.2602
1.58202,23.0129
1.58341,23.119
1.60085,59.8015
1.62606,23.0091
1.63124,7.23559
1.63371,47.5653
1.63948,7.23998
1.6453,7.2312
1.68139,22.9242
1.69059,7.35649
1.69567,7.26615
1.70649,7.24828
1.71069,7.3603
1.7129,22.9137
1.71319,7.21218
1.71475,10.6998
1.71503,7.30093
1.71881,16.6618
1.71954,22.8917
1.75592,7.32015
1.75693,23.161
1.7766,22.9135
1.77739,42.7596
1.77907,7.21027
1.78951,7.249
1.801,7.31519
1.80253,23.1402
1.80928,7.2352
1.81196,7.31741
1.83382,7.3331
1.83481,22.9772
1.83686,9.2175
1.86143,7.23323
1.86949,7.28922
1.90372,23.015
1.90723,7.23057
1.91106,36.529
1.9197,7.23416
1.91981,48.2315
1.91989,7.30216
1.92484,23.0036
1.93743,31.0038
1.94629,42.5324
1.95522,54.247
1.97153,7.2218
1.97586,22.9183
1.97813,23.1018
1.98095,7.33598
1.98137,48.7583
1.99015,7.29128
2.01353,22.9058
2.02294,48.5652
2.03456,7.30368
2.04056,7.21915
2.04615,23.0328
2.05301,7.2229
2.06653,7.37238
2.06858,23.5363
2.09309,22.9981
2.10642,23.0407
2.12059,7.37487
2.12136,7.30285
2.13071,22.8819
2.15309,22.8716
2.18677,22.9031
2.19399,7.20656
2.19852,22.9231
2.20849,7.21799
2.22704,23.1988
