Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
150.3921,19.7519,22.8834,39.5776,79.2932,124.2672,195.783,0.2881,18.4392,cephSimResult/latency/latency_150_000.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
150.4558,19.7562,22.8837,39.6009,79.0691,124.4712,188.3652,0.2831,19.4528,cephSimResult/latency/latency_150_001.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
149.9188,19.7628,22.8835,39.3332,79.7685,135.9775,219.4327,0.3187,24.2152,cephSimResult/latency/latency_150_002.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
149.6567,19.7537,22.8837,39.4779,79.5995,126.9321,202.2072,0.2938,20.3307,cephSimResult/latency/latency_150_003.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
150.0244,19.6699,22.8831,39.4006,77.6029,128.511,209.262,0.2556,26.4106,cephSimResult/latency/latency_150_004.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
150.5098,19.7506,22.8834,39.4585,78.5883,130.31,200.4544,0.2869,25.0635,cephSimResult/latency/latency_150_005.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
149.561,19.7445,22.8832,39.4662,78.8596,133.7912,198.3628,0.295,23.9749,cephSimResult/latency/latency_150_006.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
149.9687,19.7568,22.8836,39.3872,79.7367,123.5197,210.6776,0.2744,21.1342,cephSimResult/latency/latency_150_007.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
149.9489,19.7305,22.8833,39.4135,78.6162,129.2412,207.1803,0.3013,22.8347,cephSimResult/latency/latency_150_008.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
150.1618,19.6836,22.8835,39.3606,78.0735,123.7514,191.8397,0.2619,19.8906,cephSimResult/latency/latency_150_009.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,0.28588,22.17464,,
