Sim latency at ReqAveWait:0.00666667 ReqSize:8192B SampleNum:160000 Ave:13.1956 P50: 7.3265 P90:23.0437 P99:43.6449 P999:75.4253 P9999:120.4821
startTime,latency
1,7.22646
1.00026,22.9211
1.00791,7.30511
1.01039,7.39265
1.0234,7.24568
1.02387,7.24483
1.03271,7.31185
1.05033,7.29034
1.0542,22.9448
1.05622,22.8988
1.05628,7.3862
1.05813,7.24461
1.0694,7.24083
1.07588,22.9375
1.07651,7.26823
1.07879,7.21731
1.09421,7.3839
1.09656,7.2294
1.11796,23.1312
1.14978,7.25471
1.15232,12.2065
1.15268,22.9442
1.1601,7.2646
1.1664,22.9321
1.17441,7.2049
1.17601,23.0086
1.18278,7.39133
1.18557,7.21195
1.19244,7.23552
1.20845,22.9141
1.21629,22.9596
1.22053,7.23733
1.23417,7.23319
1.23632,7.21361
1.2373,7.27116
1.2452,7.22643
1.24571,7.23513
1.24701,10.993
1.26145,7.28821
1.26159,7.23185
1.27303,7.3442
1.27705,7.34246
1.28525,7.35821
1.28558,7.26069
1.28774,7.49364
1.29581,7.23712
1.31234,43.5924
1.31618,7.24743
1.32291,7.23985
1.32433,7.23695
1.32477,7.26761
1.33846,7.21359
1.35143,7.29273
1.35869,7.2244
1.3611,22.9165
1.36708,7.25305
1.36816,23.0903
1.38053,7.28248
1.39152,22.8937
1.39315,7.29928
1.39769,7.32686
1.40251,7.27831
1.40638,23.0285
1.40967,7.22766
1.41012,7.22732
1.41048,11.87
1.42133,28.6943
1.42412,7.22206
1.44137,7.20631
1.4436,27.0664
1.44701,7.3672
1.45612,7.33381
1.46587,22.9451
1.46635,7.48007
1.46661,7.22096
1.46881,7.23304
1.49799,7.37158
1.49951,22.8811
1.50335,7.38306
1.51313,7.40948
1.51938,7.2637
1.52306,7.25232
1.53086,7.24472
1.53107,7.34017
1.53124,43.6173
1.53654,7.28375
1.54878,7.22982
1.54996,7.28133
1.56461,7.27769
1.56624,7.21146
1.5751,22.9388
1.58318,7.36762
1.58728,7.2486
1.59659,7.35733
1.6124,22.9696
1.61249,7.41941
1.61971,7.38508
1.6332,7.2396
1.6357,22.8758
1.63721,7.20296
1.63953,39.8232
1.64791,7.35029
1.67828,7.25843
1.69183,7.34269
1.70572,7.21715
1.72034,22.926
1.73265,7.55582
1.73344,22.9121
1.73677,7.21335
1.75539,7.33928
1.76294,7.25109
1.76346,7.22096
1.77747,7.33623
1.77781,7.25031
1.7788,10.9285
1.79327,23.06
1.79388,7.53895
1.79426,7.22622
1.79543,22.934
1.80638,7.2451
1.80902,7.24043
1.81841,22.8922
1.81907,7.24045
1.83328,43.6797
1.8346,7.249
1.8393,7.24297
1.84261,7.33892
1.84875,22.9764
1.8524,45.2562
1.86556,7.39274
1.86776,24.5981
1.86971,7.31975
1.89508,7.20731
1.90321,22.9046
1.90612,7.3483
1.91102,7.28951
1.92918,7.20128
1.94388,7.45582
1.94877,7.20774
1.95358,22.9305
1.95504,22.8998
1.95638,7.25928
1.95835,7.20811
1.95859,7.31382
1.96147,7.30251
1.96365,7.21841
1.96427,7.27131
1.97125,7.38871
1.97158,7.25748
1.9815,7.32967
1.99555,22.9396
2.01264,7.43152
2.05245,23.0629
2.08816,7.29146
2.09211,7.25983
2.09387,22.9979
2.0972,7.27636
2.10572,7.22148
2.10679,22.8734
2.11268,7.25785
2.1169,22.9278
2.13046,7.27295
2.13809,22.8801
2.15947,7.36551
2.16508,23.1135
2.17282,7.43919
2.18318,7.29682
2.18339,25.4596
2.18588,7.24524
2.18674,11.3641
2.18775,23.0212
2.18797,22.8735
2.21709,22.9392
2.22303,7.24224
2.23399,23.1922
2.23572,7.46371
2.23657,7.46145
2.23831,7.20881
2.25215,7.23499
2.25274,7.24474
2.25277,7.26028
2.25714,22.989
2.25779,7.28361
2.26406,7.24747
2.26944,23.1082
2.27621,7.27576
2.28287,7.28831
2.29287,7.30619
2.29509,22.9911
2.29783,7.38257
2.30755,22.98
2.31972,23.0499
2.32136,7.20111
2.32502,7.35214
2.32919,22.9193
2.34118,7.43268
2.38187,7.23487
2.39376,7.24987
2.40346,7.3851
2.40438,7.21953
2.40646,7.27791
2.4091,9.58442
2.41568,7.20662
2.42222,7.23409
2.4224,23.1551
2.42985,7.26172
2.45506,7.20497
2.46924,22.9144
2.47195,7.24266
2.4763,7.21048
2.48548,7.28854
2.48637,23.1264
2.48954,7.32667
2.49319,36.793
2.50032,7.21717
2.5036,22.936
2.50459,7.27025
2.50656,22.9521
2.51702,7.22899
2.52919,12.2487
2.54831,7.23499
2.54859,7.23096
2.55265,22.8946
2.55583,22.9143
2.55931,22.9065
2.56162,7.2719
2.56538,22.9857
2.57573,53.9058
