Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.0737,23.552,22.8868,51.1562,118.0266,212.5768,298.8898,1.5835,29.6,cephSimResult/latency/latency_200000_000.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.5798,23.5919,22.8869,51.5919,117.6107,200.2336,314.0125,1.5715,28.6792,cephSimResult/latency/latency_200000_001.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.8464,23.4657,22.887,51.0232,115.9075,200.876,303.2868,1.493,28.0097,cephSimResult/latency/latency_200000_002.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.9235,23.602,22.8871,51.2134,119.563,202.4234,305.1691,1.6395,28.4611,cephSimResult/latency/latency_200000_003.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.9493,23.4292,22.8868,51.0587,114.4049,197.7325,301.387,1.4515,28.3121,cephSimResult/latency/latency_200000_004.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.5523,23.6035,22.8871,51.3624,117.2017,204.6469,321.7502,1.579,28.6713,cephSimResult/latency/latency_200000_005.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.6542,23.4955,22.8868,50.9832,117.3822,201.6529,298.8727,1.515,28.7199,cephSimResult/latency/latency_200000_006.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.9241,23.6497,22.8869,51.5545,118.6404,200.9205,321.4554,1.6245,28.1423,cephSimResult/latency/latency_200000_007.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.0329,23.4763,22.8867,51.1402,116.0257,194.5327,284.5002,1.5205,26.7629,cephSimResult/latency/latency_200000_008.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.3803,23.5024,22.8872,51.0958,116.2602,204.7749,291.0831,1.5125,29.9885,cephSimResult/latency/latency_200000_009.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,1.54905,28.5347,,
