packet_id,server_id,client_send_time(s),server_Rev_Time(s),server_Send_Time(s),client_rev_time(s),latency(ms),queue_len
9661700,5,1,1.0011,1.0061,1.00724,7.23606,1
9661705,15,1.00168,1.00278,1.02345,1.0246,22.9182,1
9661719,2,1.01237,1.01347,1.01847,1.01966,7.29012,1
9661722,1,1.01268,1.01378,1.01878,1.01996,7.28576,1
9661729,7,1.01839,1.01949,1.02449,1.02562,7.23471,1
9661806,4,1.02479,1.02589,1.03089,1.03212,7.33072,1
9661848,1,1.03815,1.03925,1.04425,1.04539,7.23973,1
9661853,2,1.04298,1.04408,1.04908,1.05028,7.30124,1
9661856,13,1.04304,1.04414,1.06482,1.06598,22.9474,1
9661859,12,1.04305,1.04415,1.06485,1.06607,23.0147,1
9661906,7,1.05147,1.05257,1.05757,1.05872,7.25319,1
9661911,3,1.0537,1.0548,1.0598,1.06094,7.23875,1
9661938,5,1.06092,1.06202,1.06702,1.06819,7.27045,1
9662022,15,1.07756,1.07866,1.09934,1.10048,22.9212,1
9662027,15,1.09003,1.09113,1.12001,1.12114,31.1048,1
9662032,1,1.09113,1.09223,1.09724,1.09849,7.35555,1
9662095,1,1.11435,1.11545,1.12045,1.12159,7.23809,1
9662114,2,1.12583,1.12693,1.13193,1.1331,7.26691,1
9662117,13,1.1262,1.1273,1.14797,1.14908,22.8875,1
9662120,0,1.12626,1.12736,1.13236,1.13354,7.27799,1
9662129,3,1.12986,1.13096,1.13596,1.13713,7.27244,1
9662172,9,1.13277,1.13387,1.15456,1.15574,22.9695,1
9662177,14,1.13404,1.13514,1.15581,1.15692,22.8842,1
9662203,10,1.14137,1.14247,1.16315,1.16428,22.9139,1
9662208,13,1.14491,1.14601,1.16865,1.16979,24.8752,1
9662213,15,1.14667,1.14777,1.16844,1.16956,22.8953,1
9662253,3,1.15621,1.15731,1.16232,1.16347,7.25549,1
9662289,4,1.16862,1.16972,1.17472,1.17586,7.24391,1
9662307,12,1.17306,1.17416,1.19484,1.19601,22.949,1
9662325,13,1.17837,1.17947,1.20016,1.20135,22.9757,1
9662330,15,1.17971,1.18081,1.20149,1.20261,22.8968,1
9662335,5,1.18191,1.18302,1.18802,1.18925,7.33338,1
9662377,15,1.19003,1.19113,1.22217,1.22337,33.3409,2
9662382,15,1.1937,1.1948,1.24292,1.24435,50.6512,1
9662408,0,1.19739,1.19849,1.20349,1.20467,7.28079,1
9662438,6,1.20039,1.20149,1.20649,1.20762,7.2367,1
9662482,8,1.21729,1.21839,1.2234,1.22456,7.2634,1
9662533,12,1.22381,1.22491,1.24559,1.24676,22.9562,1
9662538,3,1.22658,1.22768,1.23268,1.23384,7.26138,1
9662560,15,1.23626,1.23736,1.26361,1.2648,28.5448,1
9662565,10,1.23803,1.23913,1.25982,1.26099,22.9618,1
9662570,14,1.23955,1.24065,1.26133,1.26248,22.9258,1
9662697,9,1.24885,1.24995,1.27065,1.27188,23.0294,1
9662702,11,1.25147,1.25257,1.27326,1.27443,22.9528,1
9662707,3,1.25303,1.25413,1.25913,1.26031,7.27843,1
9662710,8,1.25353,1.25463,1.25963,1.26083,7.29648,1
9662717,15,1.25586,1.25696,1.28431,1.28554,29.6796,1
9662720,1,1.25667,1.25777,1.26277,1.26394,7.27646,1
9662727,8,1.25833,1.25943,1.26464,1.2658,7.47161,1
9662816,13,1.2619,1.263,1.28368,1.28484,22.9419,1
9662852,13,1.26363,1.26473,1.30436,1.3055,41.8748,3
9662893,3,1.26824,1.26934,1.27435,1.27561,7.36844,1
9662898,5,1.26966,1.27077,1.27577,1.27697,7.30759,1
9662944,7,1.27201,1.27311,1.27811,1.2793,7.29272,1
9662947,13,1.27202,1.27312,1.32504,1.32621,54.1819,4
9662950,13,1.27286,1.27396,1.34575,1.34702,74.1665,5
9663087,14,1.27956,1.28066,1.30134,1.3025,22.9456,1
