packet_id,server_id,client_send_time(s),server_Rev_Time(s),server_Send_Time(s),client_rev_time(s),latency(ms),queue_len
4820672,5,1,1.0011,1.0061,1.00724,7.23606,1
4820677,15,1.00168,1.00278,1.02345,1.0246,22.9182,1
4820691,2,1.01237,1.01347,1.01847,1.01966,7.29012,1
4820694,1,1.01268,1.01378,1.01878,1.01996,7.28576,1
4820701,7,1.01839,1.01949,1.02449,1.02562,7.23471,1
4820778,4,1.02479,1.02589,1.03089,1.03212,7.33072,1
4820820,1,1.03815,1.03925,1.04425,1.04539,7.23973,1
4820825,2,1.04298,1.04408,1.04908,1.05028,7.30124,1
4820828,13,1.04304,1.04414,1.06482,1.06598,22.9474,1
4820831,12,1.04305,1.04415,1.06485,1.06607,23.0147,1
4820878,7,1.05147,1.05257,1.05757,1.05872,7.25319,1
4820883,3,1.0537,1.0548,1.0598,1.06094,7.23875,1
4820910,5,1.06092,1.06202,1.06702,1.06819,7.27045,1
4820994,15,1.07756,1.07866,1.09934,1.10048,22.9212,1
4820999,15,1.09003,1.09113,1.12001,1.12114,31.1048,1
4821004,1,1.09113,1.09223,1.09724,1.09849,7.35555,1
4821067,1,1.11435,1.11545,1.12045,1.12159,7.23809,1
4821086,2,1.12583,1.12693,1.13193,1.1331,7.26691,1
4821089,13,1.1262,1.1273,1.14797,1.14908,22.8875,1
4821092,0,1.12626,1.12736,1.13236,1.13354,7.27799,1
4821101,3,1.12986,1.13096,1.13596,1.13713,7.27244,1
4821144,9,1.13277,1.13387,1.15456,1.15574,22.9695,1
4821149,14,1.13404,1.13514,1.15581,1.15692,22.8842,1
4821175,10,1.14137,1.14247,1.16315,1.16428,22.9139,1
4821180,13,1.14491,1.14601,1.16865,1.16979,24.8752,1
4821185,15,1.14667,1.14777,1.16844,1.16956,22.8953,1
4821225,3,1.15621,1.15731,1.16232,1.16347,7.25549,1
4821261,4,1.16862,1.16972,1.17472,1.17586,7.24391,1
4821279,12,1.17306,1.17416,1.19484,1.19601,22.949,1
4821297,13,1.17837,1.17947,1.20016,1.20135,22.9757,1
4821302,15,1.17971,1.18081,1.20149,1.20261,22.8968,1
4821307,5,1.18191,1.18302,1.18802,1.18925,7.33338,1
4821349,15,1.19003,1.19113,1.22217,1.22337,33.3409,2
4821354,15,1.1937,1.1948,1.24292,1.24435,50.6512,1
4821380,0,1.19739,1.19849,1.20349,1.20467,7.28079,1
4821410,6,1.20039,1.20149,1.20649,1.20762,7.2367,1
4821454,8,1.21729,1.21839,1.2234,1.22456,7.2634,1
4821505,12,1.22381,1.22491,1.24559,1.24676,22.9562,1
4821510,3,1.22658,1.22768,1.23268,1.23384,7.26138,1
4821532,15,1.23626,1.23736,1.26361,1.2648,28.5448,1
4821537,10,1.23803,1.23913,1.25982,1.26099,22.9618,1
4821542,14,1.23955,1.24065,1.26133,1.26248,22.9258,1
4821669,9,1.24885,1.24995,1.27065,1.27188,23.0294,1
4821674,11,1.25147,1.25257,1.27326,1.27443,22.9528,1
4821679,3,1.25303,1.25413,1.25913,1.26031,7.27843,1
4821682,8,1.25353,1.25463,1.25963,1.26083,7.29648,1
4821689,15,1.25586,1.25696,1.28431,1.28554,29.6796,1
4821692,1,1.25667,1.25777,1.26277,1.26394,7.27646,1
4821699,8,1.25833,1.25943,1.26464,1.2658,7.47161,1
4821788,13,1.2619,1.263,1.28368,1.28484,22.9419,1
4821824,13,1.26363,1.26473,1.32503,1.32617,62.5448,3
4821865,3,1.26824,1.26934,1.27435,1.27561,7.36844,1
4821870,5,1.26966,1.27077,1.27577,1.27697,7.30759,1
4821916,7,1.27201,1.27311,1.27811,1.2793,7.29272,1
4821919,13,1.27202,1.27312,1.34571,1.34688,74.8519,6
4821922,13,1.27286,1.27396,1.36642,1.36769,94.8365,5
4822059,14,1.27956,1.28066,1.30134,1.3025,22.9456,1
4822122,4,1.28635,1.28745,1.29245,1.29361,7.26676,1
4822125,10,1.28677,1.28787,1.30854,1.30967,22.8954,1
4822132,10,1.28976,1.29086,1.32921,1.33032,40.5576,1
4822137,13,1.29217,1.29327,1.38711,1.3883,96.1263,6
4822159,2,1.29354,1.29464,1.29964,1.30081,7.2709,1
4822164,13,1.29641,1.29751,1.49051,1.49161,195.201,7
4822167,5,1.2969,1.298,1.303,1.30422,7.32046,1
4822245,12,1.30378,1.30488,1.32566,1.32726,23.4826,1
4822250,9,1.30519,1.30629,1.32697,1.32813,22.935,1
4822253,13,1.30535,1.30646,1.4078,1.40899,103.638,5
4822265,10,1.3133,1.3144,1.34991,1.35115,37.8469,1
4822270,0,1.31536,1.31646,1.32146,1.32262,7.25918,1
4822273,13,1.31575,1.31685,1.42848,1.42965,113.894,5
4822280,1,1.31875,1.31985,1.33985,1.34106,22.3125,1
4822302,3,1.32355,1.32465,1.32966,1.33084,7.2911,1
4822473,15,1.32639,1.32749,1.34817,1.34936,22.9711,1
4822493,5,1.32715,1.32825,1.33325,1.33441,7.25654,1
4822498,7,1.32752,1.32862,1.33363,1.33482,7.29499,1
4822503,5,1.32822,1.32932,1.33825,1.33939,11.1725,1
4822540,0,1.33202,1.33312,1.33812,1.33928,7.26818,1
4822591,10,1.33762,1.33872,1.4326,1.43375,96.1316,1
4822663,4,1.34064,1.34174,1.34674,1.34788,7.24137,1
4822668,4,1.34521,1.34631,1.35175,1.35293,7.71339,1
4822773,6,1.35163,1.35273,1.35773,1.3589,7.27304,1
4822803,4,1.35286,1.35396,1.35897,1.3601,7.23552,1
4822806,15,1.3532,1.3543,1.37498,1.37613,22.933,1
4822813,0,1.35583,1.35694,1.36194,1.36305,7.21078,1
4822839,15,1.35832,1.35942,1.39566,1.3968,38.4779,1
4822853,13,1.36131,1.36241,1.44916,1.45031,88.9987,5
4822863,13,1.36343,1.36453,1.46984,1.47099,107.558,5
4822921,4,1.36942,1.37052,1.37552,1.37665,7.23301,1
4822924,1,1.37006,1.37116,1.37617,1.37731,7.2475,1
4822970,7,1.38153,1.38263,1.38763,1.38885,7.32065,1
4822975,12,1.38368,1.38478,1.40549,1.40676,23.0817,1
4823042,8,1.39152,1.39262,1.39762,1.39876,7.24477,1
4823047,5,1.3953,1.3964,1.4014,1.40251,7.21145,1
4823078,0,1.39911,1.40021,1.40521,1.40642,7.313,1
4823086,13,1.40145,1.40255,1.51122,1.51249,111.031,7
4823208,0,1.40922,1.41032,1.41532,1.41648,7.26478,1
4823213,4,1.41184,1.41294,1.41794,1.4191,7.25916,1
4823216,2,1.41244,1.41354,1.41855,1.41976,7.31934,1
4823223,13,1.41451,1.41561,1.656,1.65716,242.652,4
4823329,1,1.4329,1.434,1.439,1.4402,7.30517,1
4823332,13,1.43357,1.43467,1.53191,1.53313,99.5629,6
4823368,8,1.4424,1.4435,1.4485,1.44963,7.23224,1
4823395,13,1.45004,1.45115,1.55258,1.5537,103.651,6
4823400,6,1.45608,1.45718,1.46219,1.46334,7.25605,1
4823403,12,1.45634,1.45744,1.47817,1.47952,23.1773,1
4823410,12,1.45875,1.45985,1.49885,1.49998,41.2276,1
4823432,13,1.46451,1.46561,1.57327,1.57446,109.947,6
4823437,13,1.46621,1.46731,1.59395,1.59508,128.87,5
4823440,3,1.46652,1.46762,1.47263,1.47389,7.3661,1
4823513,15,1.47691,1.47801,1.49873,1.50005,23.1389,1
4823516,14,1.47702,1.47812,1.49879,1.49991,22.8864,1
4823600,8,1.4811,1.4822,1.48721,1.48843,7.32966,1
4823605,13,1.48294,1.48404,1.61464,1.61583,132.895,6
4823652,4,1.49285,1.49395,1.49896,1.5002,7.35195,1
4823781,14,1.50809,1.50919,1.52986,1.53099,22.9001,1
4823839,13,1.51169,1.51279,1.63532,1.63648,124.787,5
4823844,7,1.51507,1.51617,1.52117,1.52227,7.20289,1
4823849,1,1.5163,1.5174,1.5224,1.52354,7.23539,1
4823859,10,1.52133,1.52243,1.5431,1.54422,22.8896,1
4823873,8,1.5259,1.527,1.532,1.5331,7.20617,1
4823929,4,1.53522,1.53632,1.54132,1.54247,7.24921,1
4823947,13,1.54199,1.5431,1.67668,1.67783,135.838,3
4823957,9,1.54671,1.54781,1.56851,1.56977,23.0613,1
4823967,15,1.55751,1.55861,1.57929,1.58042,22.9076,1
4823972,0,1.5665,1.5676,1.57261,1.57391,7.40629,1
4823977,7,1.5678,1.5689,1.57391,1.5752,7.39301,1
4824031,10,1.57092,1.57202,1.5927,1.59386,22.9365,1
4824179,13,1.57776,1.57886,1.69738,1.6986,120.839,2
4824193,15,1.57988,1.58098,1.60166,1.60283,22.9526,1
4824196,5,1.58065,1.58175,1.58675,1.58788,7.23266,1
4824203,13,1.58335,1.58445,1.71807,1.71928,135.928,1
4824217,0,1.58825,1.58935,1.59437,1.59571,7.46071,1
4824325,10,1.59728,1.59838,1.61907,1.62025,22.9749,1
4824380,15,1.61543,1.61653,1.63721,1.63836,22.9244,1
4824410,15,1.61997,1.62107,1.65792,1.6592,39.2337,2
4824415,6,1.6212,1.6223,1.62731,1.62861,7.41538,1
4824420,15,1.62296,1.62406,1.67859,1.6797,56.744,1
4824425,6,1.62576,1.62686,1.63231,1.63348,7.72345,1
4824525,2,1.63542,1.63652,1.64152,1.64269,7.27418,1
4824551,14,1.63953,1.64063,1.66134,1.66261,23.0842,1
4824577,14,1.64707,1.64817,1.68202,1.68318,36.1152,1
4824582,7,1.65162,1.65272,1.65773,1.65909,7.47681,1
4824585,4,1.65218,1.65328,1.65829,1.65962,7.44391,1
