Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.5228,13.542,7.3316,23.0882,49.5578,78.9239,110.794,0.0219,21.0547,cephSimResult/latency/latency000.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.6077,13.6429,7.3315,23.0967,51.1019,84.9216,155.2593,0.0306,33.0077,cephSimResult/latency/latency001.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.8917,13.6208,7.3324,23.0897,51.2309,84.9387,123.7211,0.0319,23.067,cephSimResult/latency/latency002.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.5423,13.6522,7.3319,23.0952,51.6253,85.0581,141.3853,0.0438,27.3706,cephSimResult/latency/latency003.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.0326,13.6044,7.332,23.0887,50.3303,84.9062,188.2675,0.0431,43.0047,cephSimResult/latency/latency004.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.6797,13.5829,7.3319,23.0892,50.0025,82.526,130.3686,0.0262,32.5319,cephSimResult/latency/latency005.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.4146,13.575,7.331,23.088,50.5764,85.0708,184.9399,0.0456,36.4564,cephSimResult/latency/latency006.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.9583,13.6479,7.3336,23.0948,51.0972,84.9285,188.3055,0.0356,44.2763,cephSimResult/latency/latency007.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.9319,13.5437,7.3325,23.0874,49.8235,78.9416,105.6766,0.0175,14.4986,cephSimResult/latency/latency008.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.2157,13.6335,7.3324,23.0928,51.3901,85.0196,129.5212,0.0325,22.3844,cephSimResult/latency/latency009.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,0.03287,29.76523,,
