Sim latency at ReqAveWait:0.002 ReqSize:8192B SampleNum:160000 Ave:24.1470 P50: 7.4346 P90:57.9587 P99:190.3604 P999:371.8249 P9999:566.3903
startTime,latency
1,7.2746
1.0011,22.8817
1.00522,7.35637
1.00656,10.902
1.00735,7.38921
1.01351,8.96751
1.01811,7.2514
1.01857,9.02764
1.01862,7.23767
1.02072,22.9331
1.02578,7.38841
1.02787,7.22599
1.02837,11.7256
1.02899,22.9964
1.02952,43.1097
1.03278,7.23551
1.03385,11.3974
1.03567,7.25631
1.03621,23.0014
1.04246,7.42992
1.04303,7.20324
1.04558,23.1239
1.04639,22.9
1.04961,7.26969
1.05086,22.9288
1.05685,33.2024
1.05808,7.2785
1.0593,7.33388
1.05942,7.21784
1.06114,22.9274
1.06366,29.6233
1.06751,7.23978
1.06762,7.25124
1.06889,45.0273
1.07122,7.27688
1.07277,7.24694
1.07512,7.49077
1.08221,22.8767
1.08426,7.25033
1.08657,7.23435
1.08787,7.26015
1.0884,23.0171
1.09013,35.6783
1.09045,7.26437
1.09222,7.22781
1.09292,7.23596
1.09765,22.9095
1.09768,7.40446
1.09873,7.46313
1.10055,9.47225
1.10144,7.2726
1.10336,7.35351
1.10414,9.50788
1.10633,7.33054
1.11045,22.8829
1.11657,7.25249
1.12411,22.9062
1.12532,7.21602
1.12587,22.9635
1.12772,9.91338
1.13462,7.30757
1.13476,7.26991
1.13593,7.21162
1.13649,10.3286
1.13668,22.9123
1.13728,22.8915
1.13942,12.4514
1.14107,7.23622
1.14435,9.12232
1.15373,7.28163
1.1583,7.30594
1.17592,7.23881
1.1765,22.9303
1.17821,7.321
1.17838,9.81612
1.1787,7.38862
1.18059,7.23654
1.18201,38.0494
1.18306,23.0295
1.18652,7.35345
1.18915,7.33972
1.18915,9.67535
1.18993,22.9466
1.19015,7.27364
1.19204,41.5076
1.19324,22.9146
1.19343,43.4423
1.19427,9.5402
1.1943,7.25163
1.20077,26.0738
1.20113,46.2271
1.20114,7.20338
1.20203,7.39236
1.20227,7.38194
1.20281,54.6983
1.20769,7.23807
1.21248,7.30047
1.21588,7.23163
1.21627,61.9382
1.21909,7.23107
1.21973,79.2105
1.22115,7.2946
1.2229,96.6691
1.22612,7.21303
1.22696,7.2969
1.22812,40.0194
1.22919,111.104
1.22979,131.241
1.23014,7.32449
1.23302,7.22997
1.2349,7.25655
1.23712,7.44932
1.23996,141.776
1.24396,7.40478
1.24476,7.26394
1.2454,156.948
1.24565,7.39651
1.24903,7.25862
1.25242,7.22756
1.2527,7.40189
1.25636,7.23494
1.26045,203.884
1.26064,22.9446
1.26097,12.2579
1.26156,7.22872
1.26205,7.27416
1.27099,7.38848
1.271,151.992
1.27187,22.9813
1.27686,7.24919
1.27758,166.089
1.27774,7.24555
1.28021,7.20456
1.28035,8.75908
1.28122,12.884
1.28469,7.59668
1.28562,7.28964
1.28717,9.86576
1.28851,7.45713
1.29352,22.9736
1.29737,39.9314
1.30027,7.2727
1.30053,7.24101
1.30151,7.36952
1.30578,7.21232
1.3058,7.21273
1.30628,7.25337
1.30784,10.7287
1.31044,7.24076
1.31711,7.20273
1.31813,39.6874
1.32272,7.21195
1.32278,22.9128
1.32416,7.27865
1.32529,23.1283
1.33002,7.26675
1.33135,7.20139
1.33528,7.20682
1.33566,7.92034
1.33676,11.8409
1.33767,22.9016
1.3385,7.23202
