Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
50.1307,16.5459,22.8799,23.1208,43.6229,71.7995,102.6762,0.0125,46.5915,cephSimResult/latency/latency_50_000.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
50.1519,16.5602,22.88,23.1228,43.6476,74.7939,127.7462,0.0181,42.6747,cephSimResult/latency/latency_50_001.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
49.9729,16.5251,22.8798,23.1179,43.6214,69.4151,102.0067,0.0112,40.6278,cephSimResult/latency/latency_50_002.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
49.8856,16.5412,22.8799,23.1178,43.6168,76.2424,156.6811,0.0181,46.2639,cephSimResult/latency/latency_50_003.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
50.0081,16.5309,22.8796,23.1213,43.6038,66.7845,108.2579,0.0131,43.6425,cephSimResult/latency/latency_50_004.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
50.1699,16.5446,22.8799,23.1197,43.6256,73.874,131.2422,0.0138,57.7266,cephSimResult/latency/latency_50_005.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
49.8537,16.5259,22.8796,23.119,43.6124,72.2042,123.6831,0.0125,53.347,cephSimResult/latency/latency_50_006.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
49.9896,16.5468,22.8801,23.1214,43.622,71.5589,188.2381,0.0206,50.195,cephSimResult/latency/latency_50_007.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
49.983,16.5228,22.8799,23.1205,43.6133,68.1081,102.3707,0.0094,15.9969,cephSimResult/latency/latency_50_008.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
50.0539,16.5201,22.8799,23.1202,43.5964,67.8821,105.8117,0.0106,50.6778,cephSimResult/latency/latency_50_009.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,0.01399,44.77437,,
