Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
501.3069,34730.7793,22.9099,148764.8541,212144.3569,220087.017,221128.742,33.79,97419.9375,cephSimResult/latency/latency_500_000.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
501.5192,34879.9541,22.9092,149898.2996,212625.3911,219727.2726,220924.5619,33.6569,98203.9066,cephSimResult/latency/latency_500_001.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
499.7294,34815.9843,22.9095,149941.9913,211101.3565,218349.0235,219537.2504,33.5725,98281.2073,cephSimResult/latency/latency_500_002.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
498.8556,34686.2711,22.9099,149464.4585,210986.6285,218888.5087,220083.3289,33.7388,97337.0746,cephSimResult/latency/latency_500_003.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
500.0814,34763.6367,22.9087,149759.5188,211261.2518,219186.6421,220238.331,33.6062,98009.7705,cephSimResult/latency/latency_500_004.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
501.6992,35122.2123,22.9089,151565.7923,213503.0572,220676,221672.2809,33.7637,98633.9951,cephSimResult/latency/latency_500_005.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
498.5366,34577.7454,22.909,148806.0945,210844.8354,218257.6391,219381.4616,33.5475,97718.3682,cephSimResult/latency/latency_500_006.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
499.8957,34843.0976,22.9093,150150.5727,211299.3157,218568.3655,219708.7973,33.6506,98166.705,cephSimResult/latency/latency_500_007.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
499.8296,34781.4256,22.9098,149731.5427,212121.7916,219460.4061,220499.2147,33.7713,97550.5888,cephSimResult/latency/latency_500_008.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
500.5392,34808.0254,22.9094,149814.8286,212319.4105,219597.1821,220546.7983,33.68,97878.9684,cephSimResult/latency/latency_500_009.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,33.67775,97920.0522,,
