Sim latency at ReqAveWait:0.00166667 ReqSize:8192B SampleNum:160000 Ave:43437.4610 P50:22.9173 P90:186534.3920 P99:263331.7412 P999:272051.4901 P9999:273444.1005
startTime,latency
1,7.22646
1.00006,22.9211
1.00198,7.30511
1.0026,12.3926
1.00585,7.24568
1.00597,7.24483
1.00818,11.7881
1.01258,7.32868
1.01355,22.9448
1.01405,22.8988
1.01407,7.38621
1.01453,7.24461
1.01735,7.24083
1.01897,24.7096
1.01913,45.244
1.0197,7.21731
1.02355,8.52908
1.02414,7.2294
1.02949,27.8727
1.03745,7.25471
1.03808,7.20647
1.03817,22.9442
1.04002,22.9439
1.0416,22.9321
1.0436,34.2229
1.044,41.1111
1.0457,7.39133
1.04639,7.21195
1.04811,22.9095
1.05211,46.423
1.05407,51.6872
1.05513,12.2373
1.05854,67.8478
1.05908,87.9626
1.05932,7.27116
1.0613,7.22643
1.06143,7.23513
1.06175,30.0061
1.06536,7.28821
1.0654,102.337
1.06826,23.038
1.06926,23.036
1.07131,23.0546
1.07139,22.9393
1.07193,7.49364
1.07395,7.23712
1.07808,110.342
1.07905,7.24743
1.08073,7.23985
1.08108,38.1272
1.08119,58.7274
1.08462,7.21359
1.08786,7.29274
1.08967,12.2244
1.09027,70.298
1.09177,89.4923
1.09204,23.0903
1.09513,7.28248
1.09788,22.8937
1.09829,43.2496
1.09942,102.607
1.10063,7.27831
1.1016,121.14
1.10242,7.22766
1.10253,22.8998
1.10262,22.9056
1.10533,138.014
1.10603,56.1054
1.11034,7.20631
1.1109,153.087
1.11175,7.36719
1.11403,7.33381
1.11647,92.6595
1.11659,7.48007
1.11665,7.22096
1.1172,11.6305
1.1245,7.37158
1.12488,57.9184
1.12584,7.38306
1.12828,9.97228
1.12985,7.2637
1.13076,12.3428
1.13271,97.0698
1.13277,7.34017
1.13281,117.68
1.13414,150.591
1.1372,168.153
1.13749,10.6482
1.14115,7.27769
1.14156,7.21146
1.14377,22.9388
1.1458,7.36762
1.14682,7.2486
1.14915,7.35733
1.1531,172.989
1.15312,8.45088
1.15493,7.38508
1.1583,7.2396
1.15893,187.767
1.1593,7.20296
1.15988,207.579
1.16198,7.35029
1.16957,218.534
1.17296,7.34269
1.17643,22.8887
1.18008,39.9438
1.18316,225.974
1.18336,246.149
1.18419,7.21335
1.18885,82.4094
1.19073,22.928
1.19086,7.22096
1.19437,255.932
1.19445,7.25031
1.1947,39.6393
1.19832,272.714
1.19847,7.53895
1.19857,12.2262
1.19886,22.934
1.2016,7.2451
1.20225,7.24043
1.2046,286.964
1.20477,22.9154
1.20832,83.6124
1.20865,7.249
1.20983,7.24297
1.21065,31.9164
1.21219,300.137
1.2131,99.5265
1.21639,7.39274
1.21694,316.018
1.21743,7.31975
1.22377,39.3457
1.2258,107.415
1.22653,127.5
1.22775,7.28951
1.2323,142.263
1.23597,7.45582
1.23719,7.20774
1.2384,22.9305
1.23876,43.2131
1.23909,7.25928
1.23959,7.20811
1.23965,9.86042
1.24037,7.30251
1.24091,154.335
1.24107,7.27131
1.24281,7.38871
1.24289,7.25748
1.24537,9.15375
1.24889,53.7989
1.25316,7.43152
1.26311,152.98
1.27204,164.669
1.27303,184.334
1.27347,49.9595
1.2743,7.27636
1.27643,7.22148
1.2767,276.89
1.27817,8.38987
1.27922,198.806
1.28262,7.27295
1.28452,214.14
1.28987,284.58
1.29127,23.1135
1.2932,7.43919
1.2958,7.29682
1.29585,23.0518
1.29647,7.24524
1.29668,12.003
1.29694,298.172
1.29699,222.334
1.30427,22.9392
1.30576,7.24224
1.3085,31.2434
1.30893,307.035
1.30914,9.07709
1.30958,326.815
1.31304,344.054
1.31318,7.24474
1.31319,7.26028
1.31428,225.828
1.31445,7.28361
1.31601,7.24747
1.31736,23.1082
1.31905,7.27576
1.32072,240.068
1.32322,7.30619
1.32377,22.9935
1.32446,257.125
1.32689,371.624
1.32993,30.4004
1.33034,7.20111
1.33126,7.35214
1.3323,22.9193
1.3353,8.39912
1.34547,7.23487
1.34844,7.24987
1.35087,7.3851
1.35109,22.8913
1.35162,7.27791
1.35228,366.841
1.35392,9.16152
1.35555,7.23409
1.3556,246.765
1.35746,7.26172
1.36376,7.20496
1.36731,22.9144
1.36799,22.918
1.36908,7.21049
1.37137,7.28854
1.37159,368.427
1.37238,7.32667
1.3733,304.46
1.37508,7.21717
1.3759,246.969
1.37615,7.49548
1.37664,34.9756
1.37925,7.22899
1.3823,7.24874
1.38708,7.23499
1.38715,7.38338
1.38816,22.8946
1.38896,254.569
1.38983,370.69
1.3904,273.836
1.39134,22.9857
1.39393,40.9988
1.39512,60.4737
1.39787,7.29485
1.39834,286.511
1.39958,7.26521
1.40168,379.534
1.40345,28.8049
1.4048,7.23956
1.41288,292.736
1.41337,312.903
1.41915,57.1521
1.42118,7.28361
1.42741,7.32997
1.4291,23.0646
1.42934,7.36861
1.43134,7.25841
1.43159,370.333
1.43372,313.259
1.43379,9.78449
1.43492,387.685
1.43515,332.44
1.43666,7.26625
1.43698,351.327
1.43883,7.37818
1.43909,7.27385
1.44147,401.745
1.4428,54.2406
1.44529,7.2744
1.4482,22.9004
1.4499,7.22398
1.45155,66.0986
1.45311,7.28573
1.45459,22.9221
1.45463,7.48177
1.45566,82.8071
1.45854,100.751
1.46076,7.3293
1.46101,118.827
1.46582,398.236
1.46758,417.081
1.47236,128.188
1.47564,145.524
1.48188,327.119
1.48286,22.9034
1.48382,421.64
1.48459,441.513
1.49245,7.20448
1.49478,7.20989
1.49785,469.621
1.50036,487.677
1.50125,7.26042
1.50318,326.533
1.50385,346.595
1.50591,22.9251
1.50727,134.675
1.50745,7.24892
1.5079,11.8018
1.50793,500.831
1.508,7.25
1.50979,7.31678
1.51015,14.8484
1.51221,359.011
1.5125,379.212
1.51486,147.754
1.51634,166.984
1.5176,7.62088
1.52006,413.023
1.52057,7.24078
1.52161,8.35638
1.52166,7.25325
1.52486,9.96467
1.52596,177.935
1.52771,426.07
1.52836,23.0038
1.52901,500.502
1.53558,7.25993
1.53743,437.172
1.54004,7.25175
1.54368,7.35762
1.55052,444.618
1.55143,498.777
1.5533,22.9169
1.55516,7.23285
1.5586,7.28437
1.55882,7.45077
1.56035,455.88
1.56036,510.522
1.5609,7.37539
1.56371,7.31606
1.56659,7.23397
1.56689,469.699
1.56718,7.26123
1.56984,23.0942
1.57326,7.31163
1.57435,7.47775
1.57535,337.119
1.57662,8.8846
1.57679,7.24982
1.57809,479.378
1.5799,33.5772
1.58034,511.157
1.58132,9.28334
1.58256,22.9222
1.58308,494.922
1.58672,7.41123
1.58778,136.775
1.5888,7.3283
1.59007,44.055
1.59132,7.23923
1.5939,504.967
1.59453,22.8857
1.60027,519.161
1.60171,538.46
1.60411,7.43853
1.60487,555.87
1.60501,140.284
1.60612,7.24244
1.60715,7.22175
1.61389,7.28148
1.6161,7.23683
1.6191,7.42878
1.61932,7.27634
1.62141,7.22189
1.62368,7.20184
1.62419,7.43413
1.63502,477.152
1.63533,130.606
1.63847,7.22847
1.63938,7.2278
1.64412,7.2091
1.64431,12.3823
1.64534,22.8902
1.6462,486.797
1.64772,7.25165
1.64919,10.9178
1.65245,501.106
1.6526,7.22798
1.65382,7.24066
1.65459,7.27934
1.65467,22.9085
1.65913,7.27396
1.66051,28.425
1.66414,510.08
1.66787,534.336
1.67084,27.4188
1.67825,7.26814
1.67908,7.20411
1.68278,8.74405
1.68406,497.367
1.68407,23.0076
1.68486,538.013
1.69476,548.768
1.69592,31.8639
1.69721,51.2255
1.69738,566.837
1.70293,581.893
1.70422,82.3965
1.70427,7.22807
1.70551,7.29888
1.707,22.895
1.70722,100.08
1.70747,7.22715
1.70887,7.25676
1.70963,595.949
1.71021,616.039
1.71144,483.655
1.7163,7.38174
1.71788,629.476
1.71877,649.159
1.71886,109.138
1.72984,485.851
1.7316,7.39336
1.736,673.054
1.73617,23.1868
1.73704,7.30261
1.73763,7.28718
1.73858,110.083
1.73891,130.494
1.74008,7.44678
1.74308,146.907
1.74318,7.22508
1.74641,22.9476
1.75275,7.24742
1.75382,482.498
1.76236,23.0288
1.76383,624.628
1.76882,7.22145
1.76901,661.123
1.76999,680.541
1.7712,139.492
1.77288,698.426
1.77481,7.42491
1.77631,480.691
1.77656,7.22264
1.777,7.23413
1.77705,43.7172
1.78169,710.278
1.78509,22.9864
1.78696,725.585
1.78705,7.22839
1.78844,142.989
1.78855,7.22857
1.80094,7.27206
1.802,11.1726
1.80503,7.21733
1.80615,727.197
1.80628,471.374
1.80632,22.8887
1.8106,7.38189
1.81253,7.40638
1.81297,741.045
1.81524,7.22087
1.81665,7.22176
1.82355,751.099
1.82549,7.25158
1.8258,7.24268
1.82627,472.03
1.82649,768.953
1.83,785.997
1.83053,7.20322
1.83296,7.29943
1.83329,118.756
1.83714,7.35149
1.83764,7.32896
1.83865,7.55627
1.83929,7.31834
1.83932,12.2714
1.83973,796.965
1.84042,7.27483
1.84159,131.176
1.84513,812.443
1.84654,146.881
1.84706,831.079
1.84709,7.21752
1.85222,846.509
1.85503,464.005
1.85568,7.24091
1.85754,482.218
1.86266,856.807
1.8644,149.697
1.86491,169.847
1.86657,22.9844
1.86695,7.35041
1.86878,7.28551
1.86989,7.2323
1.8704,10.6625
1.87142,10.8965
1.87332,12.8071
1.8752,485.232
1.87763,9.54407
1.87841,12.681
1.88035,22.9348
1.88297,22.897
1.88333,7.22182
1.88479,170.63
1.88512,855.043
1.88517,495.938
1.88765,188.527
1.88808,872.787
1.8883,208.464
1.88843,229.099
1.89519,7.3296
1.89646,7.4086
1.89788,26.164
1.89872,503.038
1.90587,7.41528
1.9119,869.598
1.91274,7.25968
1.91357,888.617
1.91375,11.3111
1.91392,22.8989
1.9171,505.44
1.92017,9.79336
1.92105,22.9749
1.92208,521.036
1.92423,539.529
1.92718,578.084
1.92914,28.435
1.92933,7.22883
1.93197,890.875
1.93517,7.23906
1.93542,7.33383
1.93686,589.165
1.93889,7.25932
1.94149,7.23703
1.95081,7.24233
1.95104,7.23189
1.95371,889.968
1.9543,7.24717
1.95603,611.243
1.95833,7.35058
1.96161,7.24699
1.96262,521.907
1.96282,901.398
1.96418,173.952
1.96681,918.072
1.96778,7.41334
1.96887,23.1516
1.97018,7.22847
1.97027,7.41876
1.97325,7.25389
1.97698,7.26283
1.97736,181.459
1.97927,10.0023
1.98017,566.465
1.98053,607.447
1.98113,13.0957
1.98329,922.463
1.9847,941.605
1.98589,622.724
1.99375,635.531
1.99577,7.23876
1.99619,7.21331
1.99669,950.247
1.99743,652.535
1.99765,7.22419
1.99811,9.97671
1.99845,7.25819
1.99986,967.762
2.00258,668.075
2.00554,685.789
2.00627,7.27575
2.00888,7.38652
2.00928,7.22625
2.0113,7.2038
2.01184,976.501
2.01222,996.74
2.01308,7.30941
2.01596,23.0502
2.01812,7.25308
2.01851,22.8924
2.02006,1009.68
2.02225,1028.62
2.02282,7.20282
2.02364,22.9775
2.02366,688.379
2.02494,7.2589
2.02638,7.26783
