Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.5228,13.5791,7.3319,23.0887,50.7115,82.3714,116.8418,0.02,24.7262,cephSimResult/latency/latency000.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.6077,13.5651,7.3317,23.0875,50.3625,84.767,109.3583,0.0212,12.6612,cephSimResult/latency/latency001.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.8917,13.5794,7.332,23.0888,49.927,82.9506,122.5702,0.0275,19.3523,cephSimResult/latency/latency002.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.5423,13.6092,7.3321,23.0884,50.9339,84.2028,119.5848,0.0256,30.1826,cephSimResult/latency/latency003.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.0326,13.6047,7.3319,23.0875,50.8842,84.9018,142.8163,0.0369,25.8759,cephSimResult/latency/latency004.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.6797,13.6018,7.3318,23.0866,51.1144,84.9234,132.7619,0.0369,22.1545,cephSimResult/latency/latency005.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.4146,13.6272,7.3325,23.0895,51.2212,84.8857,117.3968,0.03,25.202,cephSimResult/latency/latency006.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.9583,13.6044,7.3325,23.0912,51.0417,83.5649,155.9191,0.0344,31.6959,cephSimResult/latency/latency007.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.9319,13.6164,7.3319,23.0906,50.9771,85.4988,186.6521,0.0481,43.2578,cephSimResult/latency/latency008.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.2157,13.6084,7.3318,23.0896,50.6019,84.9338,153.5417,0.0325,35.4482,cephSimResult/latency/latency009.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,,0.03131,27.05566,,
