Sim latency at ReqAveWait:0.00333333 ReqSize:8192B SampleNum:160000 Ave:1077.2563 P50:22.9009 P90:4512.9599 P99:8588.8120 P999:9205.5532 P9999:10485.1279
startTime,latency
1,7.27091
1.01004,22.9853
1.01152,7.20778
1.01362,7.21977
1.02062,7.2047
1.021,7.2307
1.03169,7.35689
1.03525,7.26501
1.03599,23.0859
1.04099,22.9199
1.04176,7.32825
1.04964,7.35766
1.0545,7.20661
1.05473,22.9972
1.05986,38.5322
1.06947,7.22168
1.07193,9.74658
1.07212,7.27536
1.07412,22.8764
1.08108,7.29329
1.08643,7.34622
1.09033,22.9375
1.09487,23.0451
1.09589,22.9418
1.09632,22.9803
1.09658,22.9021
1.09907,7.25079
1.10277,7.37089
1.10633,22.8748
1.10743,32.585
1.10807,32.0792
1.11162,7.22503
1.11245,48.3461
1.11849,63.2076
1.12839,7.27089
1.13025,7.2025
1.13465,7.23195
1.13517,22.9154
1.14059,7.34086
1.14068,61.5257
1.14169,22.978
1.14598,22.9071
1.14883,22.972
1.15135,23.5411
1.15592,12.2506
1.1637,7.24523
1.16451,58.3495
1.16697,12.2627
1.16839,7.55359
1.1705,22.9776
1.17265,41.4524
1.17275,7.29446
1.17665,7.24653
1.17721,7.23325
1.18344,51.4276
1.18416,71.3658
1.18545,23.125
1.19059,7.20758
1.19597,22.9215
1.20227,37.264
1.21185,64.3648
1.21845,7.24363
1.22394,72.9136
1.23077,7.59104
1.23493,22.8741
1.23698,22.9592
1.23727,80.3109
1.23856,22.8934
1.24137,7.30033
1.24419,93.9831
1.25013,7.28996
1.25685,7.23461
1.26126,22.9399
1.26229,7.23173
1.26399,7.36531
1.27489,7.41707
1.27528,7.29139
1.27623,23.1615
1.28032,7.26605
1.28709,7.21069
1.28789,7.26871
1.28968,9.67127
1.29063,22.9504
1.29387,7.22651
1.29422,40.1273
1.29456,64.4827
1.29457,85.0731
1.29755,7.21855
1.29918,7.23003
1.30019,7.21049
1.30438,23.1193
1.31134,7.28313
1.3154,7.20367
1.3174,7.23772
1.31858,81.6571
1.32145,8.3735
1.32395,7.21263
1.32517,7.24783
1.32625,94.6925
1.33588,7.31054
1.33792,104.034
1.34438,7.24681
1.34899,113.368
1.35303,7.21909
1.35581,23.0126
1.35644,42.9879
1.35778,125.523
1.36038,143.489
1.36086,7.41994
1.36478,22.9889
1.36795,22.8907
1.37324,7.27545
1.37356,151.008
1.37566,7.28922
1.3819,29.6521
1.38353,161.638
1.38402,7.39878
1.38517,7.22103
1.38856,23.0191
1.38903,7.20355
1.39058,7.36156
1.39237,173.515
1.39515,23.1332
1.39709,22.8982
1.39826,7.20153
1.39884,7.35663
1.40102,31.2677
1.40753,179.036
1.41005,30.6166
1.41169,7.25436
1.41503,192.32
1.41535,7.30509
1.4164,57.3724
1.41669,44.746
1.41923,63.0021
1.42434,7.35883
1.43212,70.751
1.4328,7.25351
1.43306,7.26351
1.43371,22.956
1.43491,42.3586
1.43884,7.50286
1.43918,7.29809
1.44159,7.33954
1.4439,7.28539
1.44619,77.2624
1.45078,7.41409
1.45299,7.36668
1.46149,7.26598
1.46521,12.2053
1.46715,30.8305
1.47292,7.21326
1.47612,68.4485
1.48524,79.6661
1.48831,97.3549
1.49953,22.9578
1.49985,7.36717
1.50075,7.30776
1.5082,119.88
1.50899,7.27548
1.50923,97.0488
