Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.5228,23.61,22.8865,51.621,117.201,202.3865,301.6404,1.6669,30.697,cephSimResult/latency/latency_0.100000_000.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.6077,23.6711,22.8865,51.9851,118.1145,201.6254,293.467,1.715,29.8309,cephSimResult/latency/latency_0.100000_001.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.8917,23.4985,22.8867,51.0369,118.251,194.1321,275.14,1.6675,28.1176,cephSimResult/latency/latency_0.100000_002.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.5423,23.5938,22.8869,51.2463,119.8182,198.8427,291.1516,1.7106,30.8001,cephSimResult/latency/latency_0.100000_003.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.0326,23.4723,22.8865,51.0247,117.6276,190.7018,301.5834,1.6162,30.1168,cephSimResult/latency/latency_0.100000_004.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.6797,23.4615,22.8866,50.947,116.6214,189.5329,273,1.59,27.9472,cephSimResult/latency/latency_0.100000_005.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.4146,23.5059,22.8865,51.1055,116.6824,203.7761,340.7651,1.5969,31.8139,cephSimResult/latency/latency_0.100000_006.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.9583,23.5491,22.8867,51.2387,118.4363,184.2405,267.7182,1.695,27.5871,cephSimResult/latency/latency_0.100000_007.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.9319,23.6091,22.8864,51.3695,118.8833,203.0278,293.9787,1.7156,30.6274,cephSimResult/latency/latency_0.100000_008.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.2157,23.5178,22.8868,51.0259,118.3667,200.0312,291.7062,1.7006,29.4988,cephSimResult/latency/latency_0.100000_009.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,1.66743,29.70368,,
