Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.5228,23.6005,22.8865,51.453,120.0901,200.6128,253.5057,1.7056,32.1311,cephSimResult/latency/latency_0.100000_000.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.6077,23.7964,22.8866,52.1819,121.0806,208.3075,277.3184,1.8031,33.0371,cephSimResult/latency/latency_0.100000_001.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.8917,23.5723,22.8868,51.4002,119.8354,197.2502,273.849,1.7194,31.7154,cephSimResult/latency/latency_0.100000_002.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.5423,23.6621,22.8869,51.3819,120.2243,206.707,304.5662,1.7419,33.8418,cephSimResult/latency/latency_0.100000_003.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.0326,23.5702,22.8866,51.2973,119.6512,200.55,255.5528,1.6919,32.9824,cephSimResult/latency/latency_0.100000_004.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.6797,23.5908,22.8867,51.2238,118.6146,195.7304,294.1726,1.6837,31.9213,cephSimResult/latency/latency_0.100000_005.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.4146,23.541,22.8865,51.2889,118.1964,202.3813,266.3347,1.6344,33.3402,cephSimResult/latency/latency_0.100000_006.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.9583,23.6292,22.8866,51.4319,120.723,192.3651,251.4967,1.7331,31.8456,cephSimResult/latency/latency_0.100000_007.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.9319,23.4613,22.8863,51.0316,116.9145,194.5034,248.3879,1.6519,29.9218,cephSimResult/latency/latency_0.100000_008.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.2157,23.5601,22.8868,51.1131,118.7062,205.9907,285.7414,1.6669,32.8727,cephSimResult/latency/latency_0.100000_009.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,1.70319,32.36094,,
