Sim latency at ReqAveWait:0.00666667 ReqSize:8192B SampleNum:160000 Ave:13.1700 P50: 7.3259 P90:23.0428 P99:43.6309 P999:70.2904 P9999:113.4729
startTime,latency
1,7.24321
1.00002,22.9665
1.00342,7.35805
1.00922,7.35058
1.02817,7.20572
1.03533,7.2065
1.04121,7.2691
1.04408,7.26756
1.05589,23.0655
1.06354,22.9534
1.07771,7.37477
1.07812,7.20282
1.09008,7.29024
1.09881,23.0214
1.10651,22.9128
1.1149,7.23569
1.12357,7.2449
1.12453,7.48475
1.13333,7.34896
1.13966,7.24659
1.14202,7.26424
1.15011,7.37964
1.16113,7.29953
1.16817,22.8773
1.18028,23.0244
1.1885,23.8404
1.1891,7.26726
1.191,7.26153
1.19201,22.9269
1.20778,22.9144
1.21411,22.9578
1.21448,7.23925
1.22266,35.0182
1.22994,48.5411
1.2312,7.20235
1.23336,7.32707
1.25647,7.20444
1.26001,8.74291
1.26079,7.25065
1.28325,7.30188
1.30215,22.9546
1.30634,22.9652
1.30735,7.24824
1.33003,7.2322
1.33032,7.21083
1.33083,7.27997
1.35242,23.0823
1.35681,7.25789
1.36797,7.2027
1.37222,23.0813
1.3747,7.25421
1.37514,7.23576
1.38273,7.26188
1.3861,7.32723
1.39076,25.1535
1.39177,7.22002
1.39809,22.9055
1.40261,7.252
1.41082,7.23999
1.42543,7.29177
1.43577,23.2275
1.44211,7.20325
1.44462,7.23348
1.44854,8.29216
1.4514,7.27777
1.46645,22.9441
1.46812,7.2057
1.47219,23.2257
1.47389,7.32364
1.49033,7.20428
1.49035,7.23548
1.49301,9.65482
1.50029,22.9854
1.5105,7.23267
1.51092,7.3219
1.52686,7.22597
1.53043,7.25457
1.53301,22.8893
1.54256,7.29621
1.54365,11.275
1.56521,7.22189
1.59733,7.22803
1.60337,7.44284
1.62786,7.24116
1.63129,22.9364
1.64262,7.24535
1.65595,22.9007
1.65796,7.23968
1.66395,7.29219
1.66969,7.27979
1.66992,23.0579
1.67984,7.3249
1.68224,7.3139
1.68462,7.30098
1.69666,23.0571
1.7041,7.31681
1.70417,7.22734
1.71167,7.21473
1.71315,43.6424
1.71529,7.28284
1.71541,7.29096
1.7202,7.25084
1.72066,7.26031
1.73214,7.30328
1.74002,7.277
1.74657,22.9499
1.74664,22.8985
1.75331,36.9653
1.76348,7.27384
1.76433,23.0324
1.76632,7.31342
1.76771,7.32429
1.78383,7.22346
1.79397,7.27571
1.80581,22.9455
1.81506,23.0038
1.82228,7.2659
1.8257,7.28303
1.82893,7.23368
1.84354,7.25469
1.84713,8.63925
1.85238,22.9209
1.85695,22.9455
1.85746,7.21808
1.87402,7.27284
1.8773,7.40629
1.8814,23.0418
1.8852,7.38936
1.88565,22.9724
1.89266,7.21357
1.90009,23.2713
1.91121,7.28676
1.91903,7.23498
1.92353,22.9354
1.93325,34.1908
1.94816,7.43461
1.94915,38.7962
1.95046,7.29538
1.95752,7.26095
1.95856,22.8738
1.97207,23.0423
1.973,7.20409
1.97908,7.50268
1.98374,7.4178
1.98567,7.57561
1.98632,22.9069
1.98962,7.22651
1.99129,7.20931
2.00365,7.43149
2.01514,7.27066
2.01641,23.0374
2.02444,7.35375
2.02865,22.9518
2.03133,23.0427
2.03225,42.8174
2.03867,7.29426
2.0527,7.30479
2.05499,9.96553
2.06381,7.39226
2.07593,7.40524
2.08045,22.8958
2.0904,7.22657
2.09783,22.9301
2.11395,22.922
2.11756,23.1535
2.12178,7.44772
2.12235,7.28402
2.12993,22.9499
2.15579,7.29353
2.17758,7.23246
2.18198,7.25759
2.1887,22.9598
2.19848,22.9085
2.2009,7.27237
2.212,22.953
2.21726,7.20608
2.21919,7.30975
2.22076,22.9332
2.22119,10.3164
2.22127,7.22599
2.25829,7.23333
2.25844,22.8728
2.26209,7.23473
2.265,7.48428
2.26846,22.9624
2.27214,7.44351
2.27563,7.29021
2.29981,7.24567
2.30649,23.0386
2.31039,7.22723
2.31481,7.21246
2.32326,22.8948
2.33737,7.27806
2.33863,7.39813
2.3568,22.9989
2.3604,7.2127
2.36567,7.33222
2.36896,7.26383
2.38225,7.2181
2.38478,22.9246
2.38946,7.20261
2.4029,22.9687
2.40583,7.37826
2.40855,7.27963
2.44689,22.8832
2.44947,7.21324
2.45022,7.31114
2.45487,7.22958
2.45836,22.8735
2.46119,7.30864
2.46141,7.27755
2.46457,7.28065
2.47125,7.39575
2.47458,22.9663
2.47949,7.22117
2.49546,22.9211
2.49558,7.29382
2.50368,22.934
2.51505,7.26363
2.53996,7.22848
2.54129,7.32059
2.54226,10.0753
2.54933,22.8719
2.55397,22.9602
2.55468,22.8827
2.57724,7.2185
2.58407,7.40278
2.5902,23.3403
2.59304,40.8003
2.59521,7.50283
2.60273,23.0184
2.61963,7.23068
2.63614,22.9093
2.63778,22.9204
2.63928,7.28255
2.63985,22.9202
2.64685,36.5964
2.66576,7.24432
2.67739,7.33257
2.6932,7.20208
2.694,11.4839
2.70637,7.27333
2.71335,7.22787
2.71491,22.9106
2.71861,7.23124
2.71955,7.24137
2.7216,7.21111
2.72642,22.9542
2.73134,7.22636
2.73702,32.9789
2.7412,7.3198
2.75272,7.32954
2.75378,7.28375
2.7645,7.21485
2.76498,7.21286
2.76687,7.22821
2.76986,7.2874
2.79591,7.22877
2.81083,7.66678
2.82537,22.908
2.83007,7.25658
2.83354,7.26652
2.83392,7.25141
2.83547,7.25603
2.83823,22.9007
2.84431,22.9783
2.85202,7.24772
2.85244,22.9586
2.85513,26.7374
2.86611,36.3716
2.87662,22.9104
2.87694,46.2145
2.88841,7.27645
2.89142,7.33547
2.89321,7.22761
2.8946,23.1273
2.92246,22.9736
2.93107,7.3311
2.94492,12.2716
2.94749,22.988
2.96587,7.28017
2.96977,7.23911
2.97147,7.33164
2.97905,7.23688
2.98289,8.38981
2.99039,7.36166
2.99359,7.26692
3.01017,7.22978
3.01245,7.42335
3.01654,22.9208
3.01739,22.9018
3.0223,38.8874
3.02245,7.27156
3.02393,7.29664
3.02983,7.26916
3.03723,7.30407
3.03967,7.42554
3.0451,7.23627
3.05664,7.22795
3.05884,22.8978
3.07664,7.21356
3.08938,7.3246
3.1008,7.38836
3.11134,22.9594
3.11342,7.35463
3.11923,7.32038
3.12823,7.27053
3.15157,7.32816
3.15357,7.40265
3.15786,7.43774
3.17304,7.23902
3.17366,7.45196
3.17865,7.32155
3.17909,11.7914
3.18975,7.33971
3.19171,10.3725
3.21099,7.25589
3.21526,7.32295
3.21788,7.2539
3.21808,23.0229
3.22027,9.87599
3.22782,7.22164
3.23007,7.31324
3.23462,7.25294
3.23476,7.30288
3.23855,22.8908
3.24708,23.0313
3.25976,22.9619
3.27221,7.28463
3.28509,22.9507
3.28526,23.0301
3.28626,7.24795
3.28656,22.8964
3.29147,7.36907
3.29303,7.21111
3.29411,11.471
3.29563,33.3029
3.29595,7.39535
3.31177,7.20226
3.32887,7.27373
3.32997,7.22038
3.33451,22.9206
3.339,23.0206
3.34187,7.24059
3.34416,7.30272
3.35467,7.2444
3.40137,7.2386
