Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.5228,13.6305,7.3324,23.0893,51.6512,85.0722,130.3452,0.0356,17.8736,cephSimResult/latency/latency000.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.6077,13.5924,7.331,23.0907,50.006,84.935,152.3155,0.0394,28.884,cephSimResult/latency/latency001.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.8917,13.6145,7.3324,23.0876,51.089,85.0301,126.2181,0.0338,27.0732,cephSimResult/latency/latency002.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.5423,13.5722,7.332,23.0862,50.4352,84.942,133.6857,0.0369,23.5183,cephSimResult/latency/latency003.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.0326,13.6276,7.3324,23.0936,50.8955,82.5916,119.8825,0.03,20.6109,cephSimResult/latency/latency004.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.6797,13.6432,7.332,23.0905,51.3436,84.944,193.3389,0.0375,56.767,cephSimResult/latency/latency005.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.4146,13.5933,7.3317,23.0862,50.6238,84.3478,159.1419,0.0344,35.7764,cephSimResult/latency/latency006.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.9583,13.6099,7.3319,23.0952,50.2296,82.1175,119.8057,0.0244,21.2633,cephSimResult/latency/latency007.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
199.9319,13.5931,7.3319,23.0881,50.1463,84.9501,188.2392,0.0413,42.5188,cephSimResult/latency/latency008.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
200.2157,13.5967,7.3318,23.0892,50.9395,84.9683,130.1734,0.0325,23.5463,cephSimResult/latency/latency009.csv,scratch/CephSim2022-12-8/cluster_map_mod.csv
,,,,,,,,,,
160000,¾ùÖµ,7.33195,23.08966,50.73597,84.38986,145.31461,0.03458,29.78318,,
