Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.0737,23.5606,22.8869,50.9768,119.1437,209.2549,328.4027,1.674,34.8203,cephSimResult/latency/latency_200000_000.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.5798,23.7301,22.8869,51.8523,121.1899,201.7651,303.9362,1.773,32.9817,cephSimResult/latency/latency_200000_001.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.8464,23.5479,22.887,51.2516,117.7673,197.3243,289.6961,1.667,31.2175,cephSimResult/latency/latency_200000_002.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.9235,23.616,22.887,51.2533,120.734,199.476,288.1305,1.6885,33.8833,cephSimResult/latency/latency_200000_003.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.9493,23.4566,22.8868,51.1891,115.6827,187.8433,285.7144,1.536,30.8139,cephSimResult/latency/latency_200000_004.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.5523,23.5759,22.8872,51.4038,117.9093,193.4667,244.0782,1.6325,30.5938,cephSimResult/latency/latency_200000_005.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.6542,23.5605,22.8868,51.1798,117.785,204.32,279.6012,1.6185,33.8394,cephSimResult/latency/latency_200000_006.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
199.9241,23.4992,22.8869,51.077,118.2681,185.4053,231.2974,1.662,29.5702,cephSimResult/latency/latency_200000_007.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.0329,23.4684,22.8868,51.0699,116.9145,190.145,257.4521,1.608,30.2661,cephSimResult/latency/latency_200000_008.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
200.3803,23.5199,22.8873,51.0354,118.0519,197.992,268.1397,1.653,32.1684,cephSimResult/latency/latency_200000_009.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
,,,,,,,,,,
200000,¾ùÖµ,22.88696,51.2289,118.34464,196.69926,277.64485,1.65125,32.01546,,
