Sim latency at ReqAveWait:0.00333333 ReqSize:8192B SampleNum:160000 Ave:14.7189 P50: 7.3464 P90:27.7180 P99:65.6691 P999:105.9777 P9999:179.6776
startTime,latency
1,7.22052
1.00445,23.0448
1.0109,7.23945
1.0154,7.80079
1.01545,7.22444
1.01829,9.93546
1.02018,7.2649
1.02337,9.75477
1.03288,7.37233
1.03479,22.9382
1.03506,7.38839
1.03939,7.20348
1.04084,10.79
1.04271,35.6707
1.04492,22.9086
1.05257,7.30244
1.0599,7.24713
1.05993,7.26629
1.06252,7.2042
1.06454,7.30627
1.06535,7.63321
1.06573,7.38362
1.06717,22.8997
1.06906,22.9481
1.0731,23.0126
1.0785,32.2462
1.08315,7.20306
1.09515,7.33834
1.09611,7.20474
1.10821,22.9176
1.11152,22.9855
1.11321,7.21001
1.11537,39.7689
1.1388,36.9813
1.13894,7.3552
1.14216,7.28643
1.14299,7.34658
1.1436,22.9341
1.14453,7.58736
1.14496,7.4103
1.1488,8.49672
1.15426,7.38659
1.15655,7.22826
1.16392,22.883
1.16465,7.20917
1.16647,7.27805
1.16935,22.9936
1.17182,7.36311
1.17257,7.28765
1.17632,23.104
1.18937,7.25696
1.19231,7.24862
1.20428,7.29971
1.2197,7.22855
1.22287,7.26603
1.22659,7.22098
1.22838,23.0308
1.2334,7.22933
1.23383,7.24725
1.23448,22.908
1.23688,9.26785
1.23769,13.5627
1.24043,15.7092
1.24188,19.1947
1.24577,7.27337
1.2489,7.30472
1.25845,22.8938
1.26326,7.39868
1.26902,7.22519
1.27029,7.34639
1.27198,7.25693
1.28153,7.25115
1.28356,22.9795
1.28452,7.21963
1.29058,7.2273
1.2907,7.34518
1.29335,7.27149
1.29561,7.2174
1.30059,7.22782
1.30986,7.26143
1.31456,7.22204
1.32301,7.40715
1.32836,7.26467
1.33071,7.22513
1.33131,22.8984
1.33255,22.8902
1.33468,7.25218
1.33921,7.2087
1.33975,7.22844
1.34504,7.31805
1.34533,7.3959
1.36172,7.27476
1.36245,7.21457
1.36375,7.20364
1.37113,22.8812
1.37435,7.27261
1.3779,7.46161
1.37895,7.24629
1.37937,35.6056
1.38529,7.47868
1.38617,49.4962
1.38979,7.25403
1.39757,7.47551
1.40078,7.28431
1.40276,22.8738
1.40541,41.09
1.4074,49.1162
1.40797,7.36859
1.42178,7.20371
1.42228,7.27948
1.42361,22.9117
1.42528,7.27571
1.42697,49.9147
1.43409,7.38235
1.43443,32.8116
1.43514,62.5424
1.44166,7.43129
1.44506,7.34054
1.45067,7.20874
1.45652,7.23707
1.45814,7.31607
1.46132,7.27393
1.46688,22.9114
1.46953,43.7086
1.47106,7.22705
1.47241,7.25032
1.47602,22.9027
1.4837,34.5558
1.48439,49.4206
1.48642,7.26496
1.48841,10.2411
1.49178,7.23564
1.49277,7.31572
1.49842,7.21412
1.50182,8.8876
1.50237,7.27294
1.50362,50.9442
1.5039,10.7838
1.50569,7.22771
1.50996,22.9806
1.51398,39.5615
1.5213,7.22253
1.52427,7.2649
1.52592,7.2021
1.53089,7.25869
1.53331,42.1727
1.53547,7.33281
1.53807,7.28327
1.53952,7.28086
1.5397,7.25486
1.55422,23.2145
1.56079,7.23465
1.5644,22.8987
1.56552,30.4986
1.56851,7.22047
1.57233,7.23334
1.57481,7.37483
1.575,7.24102
1.57751,9.52101
1.57826,13.8527
1.58333,54.2514
1.58552,7.24799
1.58768,70.3075
1.59047,7.40702
1.59568,22.9165
1.59857,7.23399
1.60303,7.24247
1.60729,22.9468
1.6089,7.25771
1.61007,7.54321
1.62612,7.20221
1.62704,51.7851
1.62988,7.26054
1.62997,7.2049
1.63728,22.9177
1.63928,7.25294
1.64101,10.5741
1.64658,22.9165
1.64705,7.38911
1.64733,7.23675
1.64759,12.2055
1.64851,50.867
1.65206,7.20743
1.655,7.35361
1.66207,7.28912
1.6667,7.36464
1.66678,53.3365
1.6701,7.3359
1.67657,22.921
1.67756,7.37916
1.67809,7.25064
1.6782,22.9043
1.68357,7.32343
1.68444,7.23975
1.68748,23.1343
1.69136,7.31196
1.69401,9.61523
1.69815,7.31089
1.70198,7.20301
1.71701,22.9113
1.71742,7.27604
1.7201,22.9499
1.72344,7.21787
1.72511,7.2803
1.72638,22.943
1.72859,7.37254
1.7307,7.29935
1.73487,7.22079
1.73991,7.28479
1.74038,7.3057
1.74312,7.32339
1.74577,7.27943
1.7467,7.45105
1.74771,11.2255
1.74835,7.24194
1.75044,23.1849
1.758,7.23124
1.76347,7.25176
1.76444,7.22203
1.76698,7.31831
1.76986,7.26503
1.77029,7.23801
1.77561,7.27606
1.77597,7.32947
1.77714,7.30362
1.77795,7.21948
1.78494,7.28683
1.7905,22.9512
1.79835,7.24036
