Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
150.3921,19.7455,22.8833,39.4815,80.0008,123.8861,194.4724,0.3125,21.2841,cephSimResult/latency/latency_150_000.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
150.4558,19.7511,22.8836,39.6435,78.1396,126.8482,209.833,0.2956,24.2542,cephSimResult/latency/latency_150_001.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
149.9188,19.7356,22.8835,39.3216,79.4984,126.6922,240.0103,0.3125,25.9499,cephSimResult/latency/latency_150_002.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
149.6567,19.8066,22.8837,39.4958,80.4937,136.8787,206.2469,0.3425,29.4129,cephSimResult/latency/latency_150_003.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
150.0244,19.622,22.883,39.3577,76.8691,118.1215,185.7178,0.2456,20.1371,cephSimResult/latency/latency_150_004.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
150.5098,19.7865,22.8835,39.5127,79.4033,132.451,219.5896,0.3144,27.922,cephSimResult/latency/latency_150_005.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
149.561,19.7135,22.8832,39.3991,78.8933,128.2196,191.4464,0.2963,24.5563,cephSimResult/latency/latency_150_006.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
149.9687,19.6989,22.8835,39.3585,78.6897,120.6075,188.2463,0.2694,21.1423,cephSimResult/latency/latency_150_007.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
149.9489,19.7169,22.8834,39.511,78.1058,122.6252,190.2083,0.275,22.3715,cephSimResult/latency/latency_150_008.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
150.1618,19.7408,22.8835,39.4115,79.7372,127.8923,206.2254,0.3187,25.4591,cephSimResult/latency/latency_150_009.csv,scratch/CephSim2022-11-23/cluster_map_mod.csv
,,,,,,,,,,
,¾ùÖµ,22.88342,39.44929,78.98309,126.42223,203.19964,0.29825,24.24894,,
