Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.5228,23.6578,22.8865,51.5452,119.6016,212.1793,336.0703,1.7231,31.6212,cephSimResult/latency/latency_0.900000_000.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.6077,23.7061,22.8865,51.8732,119.6053,201.0469,293.4663,1.81,29.9415,cephSimResult/latency/latency_0.900000_001.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.8917,23.5628,22.8868,51.2415,118.2921,205.3247,289.0144,1.6756,31.3689,cephSimResult/latency/latency_0.900000_002.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.5423,23.5473,22.887,51.1991,119.0058,193.5292,298.2502,1.6913,28.8916,cephSimResult/latency/latency_0.900000_003.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.0326,23.5525,22.8864,51.3512,117.8584,200.4878,336.5533,1.7075,29.18,cephSimResult/latency/latency_0.900000_004.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.6797,23.5642,22.8867,51.29,118.1746,192.1733,291.9065,1.6731,29.0665,cephSimResult/latency/latency_0.900000_005.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.4146,23.456,22.8865,51.1891,116.67,186.2202,283.46,1.6138,27.7169,cephSimResult/latency/latency_0.900000_006.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.9583,23.5317,22.8867,51.1751,118.2145,186.4896,259.3248,1.6881,27.9001,cephSimResult/latency/latency_0.900000_007.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.9319,23.5678,22.8865,51.2323,118.4362,200.0131,302.7045,1.7344,28.8476,cephSimResult/latency/latency_0.900000_008.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.2157,23.4397,22.8868,50.7914,116.1041,199.9274,323.1991,1.6281,30.201,cephSimResult/latency/latency_0.900000_009.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,1.6945,29.47353,,
