Sim latency at ReqAveWait:0.005 ReqSize:8192B SampleNum:160000 Ave:13.6199 P50: 7.3323 P90:23.0932 P99:50.1242 P999:84.9254 P9999:130.7178
startTime,latency
1,7.2624
1.00538,22.9305
1.00596,7.3246
1.01124,7.24486
1.01185,7.3778
1.01833,7.20971
1.0227,7.40586
1.03015,7.33183
1.03043,22.9179
1.03214,22.9567
1.04655,7.33659
1.05194,7.28186
1.05207,12.1815
1.05893,22.8811
1.0628,22.9163
1.0674,7.24129
1.06754,7.2462
1.06915,7.2289
1.08021,22.9314
1.08038,7.377
1.08143,7.27803
1.09319,23.151
1.09794,7.22806
1.11169,7.23624
1.11446,23.142
1.11535,22.8898
1.12022,7.25342
1.12981,7.28038
1.1343,7.27194
1.1368,22.9721
1.14283,22.8776
1.14564,7.46365
1.14763,23.0697
1.16912,7.25047
1.17385,7.31045
1.17408,7.2409
1.18176,7.30564
1.18322,22.9634
1.18771,7.23462
1.20485,22.883
1.2092,7.24932
1.21034,7.32775
1.21176,7.26363
1.21193,12.2705
1.21563,7.27978
1.21803,7.25983
1.21851,22.9548
1.22116,8.02194
1.22259,7.64562
1.22282,11.3532
1.22464,22.9044
1.22591,7.24267
1.2262,7.25205
1.22865,9.54594
1.23126,37.0031
1.23211,7.52749
1.24138,22.9545
1.25113,7.27212
1.25205,7.28755
1.25531,22.9041
1.25596,32.9572
1.25917,7.38322
1.26538,7.23942
1.26598,11.8089
1.26991,7.43855
1.28305,7.27839
1.29326,22.9062
1.29753,23.0368
1.30437,7.32302
1.30482,31.9984
1.30637,7.29068
1.3084,7.30263
1.31045,23.0601
1.31144,7.21841
1.32817,7.25519
1.33121,7.26613
1.33332,7.31559
1.33483,23.0723
1.33811,7.32792
1.33881,7.35715
1.33886,7.23431
1.37421,7.22581
1.37499,22.9099
1.37523,7.2311
1.37894,39.6595
1.38244,7.22975
1.40109,7.23667
1.4047,7.57299
1.42092,7.23561
1.42729,7.33001
1.42777,7.25077
1.43288,7.27228
1.44062,7.24869
1.44623,7.2241
1.45718,7.26921
1.45799,7.31933
1.46333,7.2196
1.46989,7.28235
1.47222,22.9548
1.47231,7.3371
1.47564,22.9241
1.47777,7.42224
1.47999,39.2577
1.48456,7.24633
1.48699,23.012
1.48938,41.2916
1.49563,7.25927
1.49877,41.1656
1.49909,7.25726
1.49925,7.21251
1.50434,22.9292
1.50442,7.26006
1.50963,7.2635
1.51599,7.24877
1.51719,7.22391
1.51971,41.0879
1.52024,7.46606
1.52335,7.26121
1.52608,22.8939
1.53041,7.32311
1.53155,11.0841
1.54868,32.6177
1.54928,7.20177
1.5509,23.038
1.55746,7.25492
1.56363,7.29892
1.57991,7.2458
1.58464,22.9387
1.59408,23.0528
1.59718,7.24086
1.59892,29.376
1.59973,9.7476
1.62315,22.9302
1.62859,7.27849
1.63916,7.2105
1.64849,7.28683
1.64883,7.41417
1.66233,7.40385
1.66532,7.29907
1.67161,7.20867
1.67576,22.9
1.6804,7.22916
1.68561,7.364
1.68952,7.23701
1.69176,7.21626
1.69252,7.32126
1.69642,7.24293
1.69936,7.25219
1.70177,12.3276
1.7036,7.26967
1.70485,7.39395
1.70543,7.23802
1.71614,23.1413
1.71951,22.9645
1.72414,7.50966
1.72455,7.24954
1.7279,7.56633
1.72826,7.33186
1.73734,7.24609
1.74123,7.23979
1.74245,22.9172
1.74252,7.23568
1.74516,23.0713
1.74697,7.23991
1.74866,22.91
1.74875,7.26517
1.75151,7.29867
1.76925,23.0392
1.77312,7.22889
1.78197,7.24772
1.7857,22.9147
1.79193,22.8954
1.79252,23.1731
1.7972,7.27358
1.79873,23.0128
1.80402,7.37759
1.8061,7.31984
1.81069,7.32142
1.81417,7.41465
1.83219,7.22655
1.83897,7.36746
1.8484,7.25116
1.84986,7.28401
1.85803,7.23252
1.85864,22.9001
1.86337,7.26622
1.87162,7.229
1.87569,7.37925
1.8783,23.0302
1.87978,7.25454
1.88576,22.929
1.89169,7.37269
1.89625,7.2396
1.90575,7.38539
1.90692,22.976
1.91705,7.28545
1.92194,7.3414
1.92451,7.20313
1.92645,7.91238
1.93103,22.9075
1.93116,7.24193
1.93744,22.8735
1.94082,7.21895
1.9421,7.26842
1.94686,7.26787
1.95504,7.26457
1.96885,7.23996
1.96952,22.9
1.97083,7.21151
1.97219,7.21675
1.97237,7.36271
1.98914,7.31735
1.99966,7.23397
2.00323,8.72263
2.01471,7.78475
2.02059,7.2429
2.02075,7.24551
2.02209,22.9186
2.02953,7.20245
2.03824,7.22658
2.04025,7.30089
2.0446,7.2293
2.05278,22.9005
2.05407,22.9655
2.05562,7.33967
2.05768,40.0046
2.06607,7.20481
2.08087,22.9841
2.08621,7.21024
2.09748,7.23673
2.10859,23.0559
2.12118,7.20668
2.13498,22.947
2.13729,23.1438
2.13912,7.2138
2.14056,7.20937
2.14759,22.9103
2.15397,23.0515
2.15851,7.53083
2.15859,7.25936
2.1753,22.9041
2.17843,7.28105
2.18162,7.23877
2.18232,22.9256
2.18382,10.01
2.18429,14.5571
2.18715,38.7642
2.20013,22.9783
2.20199,7.22966
2.21031,7.22821
2.21629,7.63655
2.21648,7.2753
2.21831,7.27229
2.22102,7.26035
2.2215,7.27577
2.23076,22.8714
2.24032,7.24594
2.24413,7.25003
2.2445,11.9679
2.24971,7.26273
2.26445,7.36149
2.27019,22.896
2.27194,7.42751
2.27456,7.2228
2.27799,35.9082
2.28235,22.9274
2.29418,7.2101
2.30578,28.9385
2.31791,37.3349
2.32257,53.4884
2.33225,7.23789
2.34327,22.9097
2.34411,23.095
2.34465,7.23623
2.35318,7.217
2.35541,7.25984
2.36479,22.9069
2.37003,7.24359
2.37323,7.42201
2.37328,23.0719
2.3744,22.9086
2.38076,7.21115
2.38637,7.29619
2.38699,11.5942
2.40076,22.9213
2.41165,7.33381
2.41217,7.37019
2.41507,7.40171
2.41512,22.9242
2.41522,7.28003
2.41916,23.47
2.42566,37.5907
2.43243,7.28669
2.43269,26.1779
2.43577,7.22856
2.43919,7.26372
2.44063,7.25394
2.45441,7.22128
2.45527,28.3927
2.47024,22.9826
2.47308,22.9505
2.48768,23.0059
2.49038,7.249
2.49355,7.26823
2.49374,7.23115
2.49544,7.21066
2.50071,22.9574
2.50138,7.26604
2.50526,7.2653
2.50603,7.36333
2.51497,7.23843
2.51964,7.4324
2.52004,7.22737
2.52583,7.34339
2.52908,7.2469
2.54356,7.31354
2.54543,7.28944
2.54606,22.9056
2.5483,7.25382
2.55102,7.22312
2.55903,7.24931
2.56588,7.2116
2.5706,7.20898
2.57231,7.27612
2.57536,7.23531
2.57722,7.43657
2.58199,22.9877
2.58605,22.8758
2.58641,7.25592
2.58989,7.36841
2.60121,23.0681
2.60477,7.25479
2.60875,23.127
2.60947,7.3115
2.61315,22.9283
2.61728,7.26292
2.62294,33.827
2.6256,23.1382
2.63395,7.27751
2.64254,22.9463
2.66311,7.27849
2.66383,7.26007
2.66479,7.20221
2.67328,7.30831
2.67788,7.26695
2.68539,7.27826
2.68588,7.44083
2.68665,7.21209
2.68697,7.2332
2.69022,7.39919
2.69839,7.27441
2.69852,7.23806
2.69894,23.0611
2.69912,7.25175
2.70705,7.28524
2.70796,11.4332
2.70924,7.40705
2.71487,7.21195
2.71961,22.8934
2.72366,23.1649
2.72579,7.25521
2.72885,9.2726
2.73593,22.9878
2.74457,7.23513
2.74572,7.24286
2.75555,7.27803
2.75982,7.23831
2.7636,7.44484
2.76507,7.23773
2.77442,22.9178
2.77466,23.222
2.78182,7.23221
2.78189,7.26629
2.79435,7.27511
2.79636,7.27986
2.79655,7.30265
2.80267,7.21654
2.80508,23.048
2.81376,7.29413
2.81466,7.20938
2.81535,23.1922
2.81679,7.23972
2.81752,31.2564
2.82102,23.2242
2.8277,7.25132
2.83011,7.25012
2.83587,7.30128
2.83627,11.9025
2.83761,7.26675
2.84791,7.33649
2.84926,22.9204
2.8591,23.2922
2.8599,43.5456
2.86444,7.24665
2.86584,36.914
2.86936,7.23675
2.87364,23.0631
2.87895,7.27867
2.88269,7.26984
2.88306,7.30367
2.89217,23.103
2.8964,7.31271
2.89846,7.31288
2.91387,23.0499
2.9214,23.124
2.9227,7.28735
2.92867,7.28998
2.93006,7.20123
2.93629,23.1048
2.95743,7.258
2.9606,7.21946
2.97581,22.9081
2.97736,22.9878
2.97984,7.25163
2.98997,22.9053
2.99093,7.23607
2.99547,22.9252
2.99584,7.37907
3.00312,7.27935
3.00692,22.9108
3.01065,7.21901
3.0157,7.34039
3.01876,22.9202
3.01973,22.9207
3.02174,7.3759
3.03798,7.221
3.04034,7.20369
3.04662,7.22905
3.04736,7.38451
3.04865,10.941
3.05107,13.6731
3.05985,7.43574
3.06207,7.20238
3.06442,7.26379
3.07178,7.56615
3.08459,7.31071
3.0872,9.74884
3.09737,22.9118
3.10277,7.20331
3.10643,7.31421
3.10704,34.0229
3.10717,11.4894
3.1073,7.28961
3.10747,23.533
3.11073,50.884
3.11323,69.1212
3.12358,7.27022
3.12463,7.26266
3.13308,22.9449
3.13563,7.27562
3.1391,7.28298
3.14195,7.24513
3.14261,7.27283
3.14374,11.1839
3.14477,58.6128
3.15399,7.2486
3.16006,22.9325
3.16018,84.3528
3.16594,7.61694
3.17573,89.4306
3.17736,7.37147
3.17778,7.32631
3.18452,23.3325
3.1868,7.3749
3.19164,7.40921
3.19421,23.0863
3.19505,22.9857
3.19777,7.31729
3.20257,7.26942
3.20621,7.41007
3.20751,7.23068
3.21626,7.2241
3.21874,7.43443
3.21994,8.58164
3.23033,7.22655
3.23207,7.2087
3.23925,7.35319
3.25208,7.314
3.25409,23.0068
3.25699,23.0064
3.26832,7.23659
3.28196,22.9269
3.28997,7.43232
3.30472,7.22705
3.3081,22.8966
3.31173,7.24048
3.32481,7.23732
3.32907,7.34792
3.33354,7.25163
3.3347,7.24006
3.3389,22.9144
3.34574,22.9178
3.34786,7.23343
3.35172,22.9139
3.35418,7.30093
3.36931,7.34972
3.37212,7.41193
3.37328,22.8831
3.37714,22.9346
3.38617,7.25354
3.38658,22.9482
3.38718,33.721
3.39293,48.5312
3.39414,7.37342
3.403,22.9719
3.40617,7.24485
3.41573,22.8967
3.42185,7.23153
3.43097,7.25857
3.43482,7.27007
3.4468,7.30193
3.4471,7.23656
3.45197,7.31259
3.46965,7.22529
3.47163,7.24851
3.47508,7.23185
3.4836,22.9344
3.49878,7.22216
3.50612,7.25818
3.5062,23.0327
3.5128,23.022
3.51512,7.27444
3.51725,39.3371
3.53385,7.21125
3.53405,22.999
3.53896,7.35671
3.53973,7.23152
3.54343,7.37738
3.55445,7.2637
3.55748,22.9095
3.55766,9.02534
3.5593,7.23627
3.56081,23.0148
3.56084,10.8709
3.56747,22.8979
3.59178,7.25757
3.59254,7.53112
3.59537,22.9264
3.60772,7.23849
3.60915,7.22919
3.6168,7.28293
3.62848,22.9416
3.63771,7.3033
3.64002,7.28844
3.64266,7.22592
3.65767,23.0285
3.65892,7.31825
3.66899,7.29769
3.67086,10.4314
3.67156,7.37151
3.68546,7.37994
3.69001,7.27793
3.69281,23.2115
3.69672,7.21424
3.70145,7.42717
3.70554,22.8895
3.70622,7.22447
3.70805,7.33596
3.71276,23.6924
3.7435,7.22794
3.75656,7.43751
3.75978,22.9724
3.77187,22.9419
3.77788,7.30805
3.78048,7.32801
3.78746,27.9891
3.78753,22.8746
3.78839,7.27285
3.79034,7.24913
3.79067,12.0471
3.79495,12.7197
3.79747,38.7952
3.80712,23.9715
3.81015,7.21232
3.81028,7.33795
3.81269,7.35135
3.82021,7.30046
3.82201,22.919
3.82584,7.24226
3.82748,7.23698
3.82768,7.37234
3.82873,11.1687
3.83858,22.9597
3.84544,7.21387
3.85121,22.9063
3.85388,22.993
3.86202,23.0401
3.86376,7.29424
3.86677,7.24481
3.87131,7.23578
3.87332,7.24983
3.8775,7.27535
3.88732,7.24645
3.89276,7.23342
3.9038,23.0002
3.90568,7.36767
3.91023,7.25094
3.91659,7.37829
3.91665,7.257
3.92436,7.24631
3.92983,22.886
3.94038,7.24236
3.94177,10.9063
3.94201,7.24354
3.95604,7.23084
3.9571,7.27668
3.95918,10.212
3.9607,22.9059
3.96206,7.24288
3.96706,7.27466
3.97013,34.1559
3.97231,7.25698
3.97695,7.28941
3.9781,7.30324
3.98331,7.2254
3.98928,7.45009
3.99398,7.3027
3.99555,7.22947
3.9957,7.26943
3.99873,22.8925
4.01263,7.3713
4.01318,7.25194
4.01469,22.9248
4.01691,7.21151
4.02268,22.9027
4.0264,22.8727
4.02744,7.31743
4.02752,7.37348
4.02761,42.41
4.03259,33.6693
4.04276,22.904
4.04577,7.28119
4.05291,7.23097
4.055,10.1626
4.06695,7.25265
4.06842,7.22751
4.0715,7.28622
4.07298,7.25842
4.07818,22.905
4.08067,7.30893
4.08765,7.22461
4.09589,7.27613
4.09719,43.6584
4.10467,7.22206
4.10903,7.68012
4.10979,7.271
4.10992,22.9434
4.12151,7.34713
4.12774,7.2553
4.12923,7.34659
4.13008,7.20301
4.13161,30.1836
4.13233,7.63715
4.13321,7.24239
4.13666,8.34234
4.14688,7.24126
4.15175,30.4704
4.15201,7.26519
4.1744,23.3246
4.18097,7.23597
4.18349,7.23624
4.18438,7.26901
4.18593,32.3122
4.19562,22.9446
4.19633,7.23654
4.20486,22.9064
4.20501,33.9071
4.20624,42.4405
4.20779,22.9696
4.21023,7.21593
4.21024,7.21689
4.21411,7.38119
4.2263,7.26624
4.22833,10.217
4.22944,7.20807
4.23128,7.30768
4.23745,7.26935
4.24279,7.24715
4.24281,7.22867
4.24906,7.26384
4.25759,7.58922
4.2581,11.9391
4.26601,7.34327
4.26827,7.28592
4.26849,22.9941
4.27144,22.9244
4.27225,7.26028
4.27297,23.0161
4.28542,7.33374
4.29046,7.32621
4.29061,7.27926
4.30205,7.21633
4.31121,7.22881
4.31555,7.28588
4.31876,7.28957
4.32134,22.9494
4.3221,22.9384
4.32596,7.33859
4.3293,35.6384
4.33773,7.32017
4.34034,7.26007
4.3534,22.9862
4.35705,7.22894
4.36058,7.20509
4.36224,7.522
4.37753,7.39804
4.40453,22.9049
4.40516,7.43099
4.40549,22.3
4.41058,7.24175
4.42777,23.0921
4.42815,43.362
4.43401,12.358
4.43689,55.2365
4.43988,11.6866
4.44067,7.23606
4.4422,14.0562
4.44577,22.9263
4.44605,22.8859
4.44928,7.35264
4.45462,23.0257
4.46182,7.22706
4.46821,7.26669
4.4726,7.28711
4.47988,7.23453
4.48192,7.24662
4.48216,7.28731
4.48345,10.9772
4.48586,7.30355
4.48996,22.9204
4.50004,22.9898
4.50276,7.51865
4.5078,23.1213
4.51359,7.28543
4.51791,7.21117
4.51801,7.52619
4.51915,7.25218
4.52333,8.18441
4.52586,7.20224
4.52766,7.23468
4.53144,7.28691
4.53522,7.24931
4.54134,7.23028
4.54922,7.22996
4.55533,22.9827
4.55805,7.20549
4.57009,29.0794
4.58182,7.37343
4.58499,9.04917
4.58567,22.9087
4.60186,7.30791
4.60897,22.9919
4.60942,12.4445
4.61509,22.9121
4.61718,9.48488
4.61772,7.23795
4.62082,31.7461
4.63559,7.2305
4.6392,8.88994
4.64145,11.4147
4.66451,7.22938
4.66717,7.2078
4.67197,7.34741
4.67311,11.1058
4.67744,7.31297
4.67791,22.9172
4.67835,22.8919
4.68182,7.21363
4.68182,22.9079
4.68614,7.22667
4.68695,35.1396
4.69508,23.1369
4.70355,7.24397
4.707,22.9547
4.70995,7.21492
4.71509,22.8905
4.71913,31.5235
4.72301,7.23557
4.72514,7.30874
4.72864,8.85419
4.73141,39.9431
4.73372,22.9572
4.75363,7.25897
4.75616,7.23521
4.75889,33.1584
4.76085,7.26951
4.76313,49.5942
4.76626,7.2377
4.77279,7.29108
4.77414,7.25313
4.77954,7.241
4.79001,7.22703
4.79088,42.4631
4.79552,22.9174
4.80446,55.3642
4.80874,45.3374
4.80882,71.6439
4.82138,23.0207
4.83139,7.29971
4.83317,7.24467
4.8336,7.24728
4.83464,11.1731
4.84465,7.28158
4.84886,7.26505
4.85472,22.9204
4.87901,7.23003
4.89029,22.9201
4.90281,7.21647
4.9036,11.4847
4.90766,22.9898
4.91332,7.24872
4.91349,7.26594
4.91664,7.25405
4.9214,7.30425
4.92936,7.46449
4.93451,22.9274
4.93548,7.49954
4.94818,7.20139
4.94877,7.21529
4.95034,10.2255
4.96339,23.0118
4.97973,23.1163
4.98256,7.21862
4.98323,7.23372
4.99406,7.25433
4.99571,23.5735
4.99618,7.23294
4.99823,41.1986
5.0105,22.9782
5.01409,46.2641
5.0283,7.21085
5.03194,7.28077
5.03362,47.2602
5.04137,22.8776
5.04272,42.2624
5.04278,7.24319
5.04525,7.26108
5.04618,7.25194
5.04643,7.26146
5.04771,22.8806
5.05112,7.24141
5.05207,11.5501
5.05496,7.28159
5.05718,23.0168
5.0575,34.0545
5.06272,42.9148
5.07041,7.3111
5.08735,7.2215
5.09141,7.25382
5.09666,7.29671
5.1093,7.24163
5.1121,7.27875
5.11802,22.917
5.1268,7.3487
5.12907,7.25327
5.12945,7.23926
5.13362,22.9477
5.13616,7.32597
5.14875,7.29711
5.16169,22.8858
5.16444,7.30336
5.16542,12.2574
5.17083,7.2528
5.17118,7.24889
5.17262,7.30714
5.1753,7.26858
5.17881,7.23087
5.17925,7.27918
5.18054,23.2245
5.18202,42.184
5.19358,7.2688
5.19988,22.9779
5.19989,7.35629
5.20082,7.25027
5.22037,7.2371
5.22403,7.23744
5.22408,7.23573
5.2377,7.4333
5.23946,23.1412
5.24091,7.41344
5.2455,37.5835
5.24618,22.903
5.24678,42.9789
5.25085,7.31231
5.25426,43.5591
5.25885,7.27383
5.26513,7.33636
5.2662,7.26938
5.27216,22.8847
5.2875,7.30994
5.28802,22.9284
5.28848,7.3597
5.29475,7.2144
5.30362,22.9421
5.3064,40.8403
5.30724,22.9204
5.31582,22.9002
5.32132,46.651
5.3216,29.3233
5.32829,7.24672
5.32991,7.23132
5.33119,22.879
5.33255,7.95115
5.33843,7.25174
5.34137,7.21658
5.34597,7.32865
5.34917,7.23511
5.35053,7.27686
5.35434,7.2526
5.35783,22.9354
5.35787,7.26266
5.35968,7.3106
5.36154,22.988
5.36642,7.41052
5.3669,11.7422
5.36763,33.8771
5.36995,7.2384
5.37731,22.8827
5.38162,7.25206
5.38624,7.35205
5.38697,23.0865
5.39308,7.20266
5.39835,7.32193
5.40014,7.26783
5.4062,7.29562
5.41576,7.39779
5.41846,22.8777
5.42414,22.9024
5.42714,7.27602
5.43771,7.25829
5.44056,22.9798
5.44234,23.0831
5.44696,7.25069
5.44736,7.3781
5.45419,22.9472
5.4852,22.9408
5.4854,22.9393
5.49302,7.25181
5.51432,7.21261
5.51464,7.51857
5.53594,22.9734
5.55139,7.21969
5.55191,11.7208
5.55488,7.28668
5.56089,7.36353
5.56197,22.9275
5.57164,7.32655
5.57415,7.24943
5.57589,29.6499
5.5799,7.22863
5.59073,35.5407
5.59918,7.71631
5.60032,23.0242
5.60108,7.28815
5.60223,9.20373
5.60402,12.4837
5.6048,23.0242
5.60521,16.319
5.61025,16.236
5.62026,22.9637
5.62422,7.22458
5.62726,7.27231
5.63237,31.4693
5.63365,7.23228
5.63673,23.0334
5.63916,7.31019
5.65102,22.9045
5.65335,7.29505
5.65404,7.31974
5.66539,22.8921
5.67154,7.22213
5.67764,7.32698
5.69038,22.9749
5.69316,22.9092
5.7137,7.35047
5.73255,7.22781
5.73665,7.35683
5.7436,22.9062
5.74405,7.24421
5.7535,33.65
5.76731,7.48194
5.77074,37.1205
5.77177,22.9298
5.7772,7.35521
5.77743,7.34893
5.7837,7.37305
5.79071,7.29887
5.79547,7.25509
5.79559,7.37715
5.79935,8.35424
5.80345,9.34285
5.8043,7.36189
5.80641,7.23828
5.80718,23.0561
5.81532,7.28602
5.81863,7.24185
5.81921,7.36432
5.82439,7.25487
5.82509,7.20781
5.82899,7.20561
5.83041,22.9118
5.83594,7.28012
5.83919,34.7835
5.83988,22.9118
5.84033,7.27462
5.84399,7.22316
5.84885,7.42939
5.85088,7.27762
5.8636,7.25084
5.86417,7.23952
5.86832,7.36642
5.88029,7.55876
5.88538,7.27181
5.88904,8.55964
5.89278,7.25917
5.8967,7.23645
5.90025,7.38753
5.9009,7.25341
5.90297,23.008
5.90342,7.30939
5.904,7.24886
5.91156,7.27023
5.91281,7.32033
5.91375,23.0593
5.9171,22.9443
5.91875,23.0639
5.92121,41.2146
5.92529,7.33599
5.92577,7.58335
5.92654,56.4995
5.9346,7.30168
5.93639,7.2989
5.93849,7.22738
5.94052,10.2587
5.94166,22.9934
5.9551,7.44002
5.96836,7.20324
5.9685,12.0922
5.97559,7.26915
5.97816,7.25002
5.98032,7.24625
5.98439,7.24405
